leaveid,employeeid,leavetype,startdate,enddate,days,leave_year,leave_month,leave_quarter,leave_day_of_week,leave_month_name,calculated_days,leave_duration_category,is_sick_leave,is_vacation,is_personal,is_maternity_paternity,total_leave_days,leave_count,avg_leave_duration,sick_leave_count,vacation_count,personal_leave_count,maternity_paternity_count,prev_leave_end,days_since_last_leave,leave_sequence,season,starts_on_weekend,starts_on_monday,starts_on_friday
LEAVE-41,PNR-1009,Sick Leave,2024-01-26,2024-01-26,1.0,2024,1,1,Friday,January,1,Single Day,1,0,0,0,15.0,4,3.8,1,0,1,1,2021-09-29,849.0,3,Winter,0,0,1
LEAVE-44,PNR-1009,Unknown,2024-05-03,2024-05-05,3.0,2024,5,2,Friday,May,3,Short (2-3 days),0,0,0,0,15.0,4,3.8,1,0,1,1,2024-01-26,98.0,4,Spring,0,0,1
LEAVE-50,PNR-1010,Personal Leave,2019-10-07,2019-10-08,2.0,2019,10,4,Monday,October,2,Short (2-3 days),0,0,1,0,14.0,5,2.8,0,2,2,1,,,1,Fall,0,1,0
LEAVE-48,PNR-1010,Vacation,2019-11-18,2019-11-22,5.0,2019,11,4,Monday,November,5,Medium (4-7 days),0,1,0,0,14.0,5,2.8,0,2,2,1,2019-10-08,41.0,2,Fall,0,1,0
LEAVE-49,PNR-1010,Maternity/Paternity,2020-01-26,2020-01-26,1.0,2020,1,1,Sunday,January,1,Single Day,0,0,0,1,14.0,5,2.8,0,2,2,1,2019-11-22,65.0,3,Winter,1,0,0
LEAVE-46,PNR-1010,Personal Leave,2020-07-31,2020-07-31,1.0,2020,7,3,Friday,July,1,Single Day,0,0,1,0,14.0,5,2.8,0,2,2,1,2020-01-26,187.0,4,Summer,0,0,1
LEAVE-47,PNR-1010,Vacation,2023-08-29,2023-09-02,5.0,2023,8,3,Tuesday,August,5,Medium (4-7 days),0,1,0,0,14.0,5,2.8,0,2,2,1,2020-07-31,1124.0,5,Summer,0,0,0
LEAVE-55,PNR-1011,Maternity/Paternity,2020-10-21,2020-10-25,5.0,2020,10,4,Wednesday,October,5,Medium (4-7 days),0,0,0,1,8.0,3,2.7,1,0,1,1,,,1,Fall,0,0,0
LEAVE-53,PNR-1011,Sick Leave,2021-03-11,2021-03-12,2.0,2021,3,1,Thursday,March,2,Short (2-3 days),1,0,0,0,8.0,3,2.7,1,0,1,1,2020-10-25,137.0,2,Spring,0,0,0
 LEAVE-52 ,PNR-1011,Personal Leave,2021-04-13,2021-04-13,1.0,2021,4,2,Tuesday,April,1,Single Day,0,0,1,0,8.0,3,2.7,1,0,1,1,2021-03-12,32.0,3,Spring,0,0,0
LEAVE-57,PNR-1012,Maternity/Paternity,2020-06-25,2020-06-25,1.0,2020,6,2,Thursday,June,1,Single Day,0,0,0,1,15.0,5,3.0,0,0,2,2,,,1,Summer,0,0,0
LEAVE-60,PNR-1012,Personal Leave,2020-07-10,2020-07-10,1.0,2020,7,3,Friday,July,1,Single Day,0,0,1,0,15.0,5,3.0,0,0,2,2,2020-06-25,15.0,2,Summer,0,0,1
LEAVE-59,PNR-1012,Personal Leave,2022-10-02,2022-10-03,2.0,2022,10,4,Sunday,October,2,Short (2-3 days),0,0,1,0,15.0,5,3.0,0,0,2,2,2020-07-10,814.0,3,Fall,1,0,0
LEAVE-58,PNR-1012,Unknown,2023-01-08,2023-01-08,1.0,2023,1,1,Sunday,January,1,Single Day,0,0,0,0,15.0,5,3.0,0,0,2,2,2022-10-03,97.0,4,Winter,1,0,0
LEAVE-56,PNR-1012,Maternity/Paternity,2023-09-03,2023-09-12,10.0,2023,9,3,Sunday,September,10,Long (8-14 days),0,0,0,1,15.0,5,3.0,0,0,2,2,2023-01-08,238.0,5,Fall,1,0,0
LEAVE-61,PNR-1013,Maternity/Paternity,2018-12-30,2019-01-08,10.0,2018,12,4,Sunday,December,10,Long (8-14 days),0,0,0,1,31.0,4,7.8,0,0,2,2,,,1,Winter,1,0,0
LEAVE-61,PNR-1013,Maternity/Paternity,2018-12-30,2019-01-08,10.0,2018,12,4,Sunday,December,10,Long (8-14 days),0,0,0,1,31.0,4,7.8,0,0,2,2,2019-01-08,-9.0,2,Winter,1,0,0
LEAVE-63,PNR-1013,Personal Leave,2022-07-26,2022-07-26,1.0,2022,7,3,Tuesday,July,1,Single Day,0,0,1,0,31.0,4,7.8,0,0,2,2,2019-01-08,1295.0,3,Summer,0,0,0
LEAVE-65,PNR-1013,Personal Leave,2025-01-05,2025-01-14,10.0,2025,1,1,Sunday,January,10,Long (8-14 days),0,0,1,0,31.0,4,7.8,0,0,2,2,2022-07-26,894.0,4,Winter,1,0,0
LEAVE-10002,PNR-1014,Personal Leave,2019-10-06,2019-10-15,10.0,2019,10,4,Sunday,October,10,Long (8-14 days),0,0,1,0,27.0,5,5.4,0,1,2,2,,,1,Fall,1,0,0
LEAVE-66,PNR-1014,Maternity/Paternity,2022-05-21,2022-05-23,3.0,2022,5,2,Saturday,May,3,Short (2-3 days),0,0,0,1,27.0,5,5.4,0,1,2,2,2019-10-15,949.0,2,Spring,1,0,0
LEAVE-69,PNR-1014,Vacation,2023-01-31,2023-02-02,3.0,2023,1,1,Tuesday,January,3,Short (2-3 days),0,1,0,0,27.0,5,5.4,0,1,2,2,2022-05-23,253.0,3,Winter,0,0,0
LEAVE-67,PNR-1014,Personal Leave,2024-05-22,2024-05-22,1.0,2024,5,2,Wednesday,May,1,Single Day,0,0,1,0,27.0,5,5.4,0,1,2,2,2023-02-02,475.0,4,Spring,0,0,0
LEAVE-70,PNR-1014,Maternity/Paternity,2024-05-29,2024-06-07,10.0,2024,5,2,Wednesday,May,10,Long (8-14 days),0,0,0,1,27.0,5,5.4,0,1,2,2,2024-05-22,7.0,5,Spring,0,0,0
LEAVE-73,PNR-1015,Personal Leave,2018-11-01,2018-11-05,5.0,2018,11,4,Thursday,November,5,Medium (4-7 days),0,0,1,0,14.0,4,3.5,0,2,2,0,,,1,Fall,0,0,0
LEAVE-71,PNR-1015,Vacation,2020-10-14,2020-10-14,1.0,2020,10,4,Wednesday,October,1,Single Day,0,1,0,0,14.0,4,3.5,0,2,2,0,2018-11-05,709.0,2,Fall,0,0,0
LEAVE-74,PNR-1015,Personal Leave,2021-05-03,2021-05-07,5.0,2021,5,2,Monday,May,5,Medium (4-7 days),0,0,1,0,14.0,4,3.5,0,2,2,0,2020-10-14,201.0,3,Spring,0,1,0
LEAVE-75,PNR-1015,Vacation,2021-07-09,2021-07-11,3.0,2021,7,3,Friday,July,3,Short (2-3 days),0,1,0,0,14.0,4,3.5,0,2,2,0,2021-05-07,63.0,4,Summer,0,0,1
LEAVE-79,PNR-1016,Vacation,2020-10-15,2020-10-16,2.0,2020,10,4,Thursday,October,2,Short (2-3 days),0,1,0,0,20.0,5,4.0,2,1,1,1,,,1,Fall,0,0,0
LEAVE-76,PNR-1016,Personal Leave,2023-04-18,2023-04-22,5.0,2023,4,2,Tuesday,April,5,Medium (4-7 days),0,0,1,0,20.0,5,4.0,2,1,1,1,2020-10-16,914.0,2,Spring,0,0,0
LEAVE-80,PNR-1016,Sick Leave,2023-07-16,2023-07-25,10.0,2023,7,3,Sunday,July,10,Long (8-14 days),1,0,0,0,20.0,5,4.0,2,1,1,1,2023-04-22,85.0,3,Summer,1,0,0
 LEAVE-78 ,PNR-1016,Sick Leave,2024-04-11,2024-04-11,1.0,2024,4,2,Thursday,April,1,Single Day,1,0,0,0,20.0,5,4.0,2,1,1,1,2023-07-25,261.0,4,Spring,0,0,0
 LEAVE-77 ,PNR-1016,Maternity/Paternity,2024-09-21,2024-09-22,2.0,2024,9,3,Saturday,September,2,Short (2-3 days),0,0,0,1,20.0,5,4.0,2,1,1,1,2024-04-11,163.0,5,Fall,1,0,0
LEAVE-83,PNR-1017,Maternity/Paternity,2018-10-27,2018-10-31,5.0,2018,10,4,Saturday,October,5,Medium (4-7 days),0,0,0,1,10.0,4,2.5,1,0,1,2,,,1,Fall,1,0,0
LEAVE-81,PNR-1017,Maternity/Paternity,2022-02-08,2022-02-08,1.0,2022,2,1,Tuesday,February,1,Single Day,0,0,0,1,10.0,4,2.5,1,0,1,2,2018-10-31,1196.0,2,Winter,0,0,0
LEAVE-85,PNR-1017,Personal Leave,2022-07-26,2022-07-28,3.0,2022,7,3,Tuesday,July,3,Short (2-3 days),0,0,1,0,10.0,4,2.5,1,0,1,2,2022-02-08,168.0,3,Summer,0,0,0
LEAVE-82,PNR-1017,Sick Leave,2024-05-13,2024-05-13,1.0,2024,5,2,Monday,May,1,Single Day,1,0,0,0,10.0,4,2.5,1,0,1,2,2022-07-28,655.0,4,Spring,0,1,0
LEAVE-87,PNR-1018,Personal Leave,2019-07-28,2019-07-30,3.0,2019,7,3,Sunday,July,3,Short (2-3 days),0,0,1,0,10.0,5,2.0,0,0,4,1,,,1,Summer,1,0,0
LEAVE-88,PNR-1018,Maternity/Paternity,2020-01-20,2020-01-20,1.0,2020,1,1,Monday,January,1,Single Day,0,0,0,1,10.0,5,2.0,0,0,4,1,2019-07-30,174.0,2,Winter,0,1,0
LEAVE-89,PNR-1018,Personal Leave,2020-02-06,2020-02-06,1.0,2020,2,1,Thursday,February,1,Single Day,0,0,1,0,10.0,5,2.0,0,0,4,1,2020-01-20,17.0,3,Winter,0,0,0
LEAVE-86,PNR-1018,Personal Leave,2021-08-09,2021-08-11,3.0,2021,8,3,Monday,August,3,Short (2-3 days),0,0,1,0,10.0,5,2.0,0,0,4,1,2020-02-06,550.0,4,Summer,0,1,0
 LEAVE-90 ,PNR-1018,Personal Leave,2022-04-08,2022-04-09,2.0,2022,4,2,Friday,April,2,Short (2-3 days),0,0,1,0,10.0,5,2.0,0,0,4,1,2021-08-11,240.0,5,Spring,0,0,1
LEAVE-92,PNR-1019,Maternity/Paternity,2021-02-22,2021-03-03,10.0,2021,2,1,Monday,February,10,Long (8-14 days),0,0,0,1,23.0,4,5.8,0,2,0,2,,,1,Winter,0,1,0
LEAVE-95,PNR-1019,Vacation,2021-05-08,2021-05-09,2.0,2021,5,2,Saturday,May,2,Short (2-3 days),0,1,0,0,23.0,4,5.8,0,2,0,2,2021-03-03,66.0,2,Spring,1,0,0
LEAVE-94,PNR-1019,Maternity/Paternity,2023-01-01,2023-01-01,1.0,2023,1,1,Sunday,January,1,Single Day,0,0,0,1,23.0,4,5.8,0,2,0,2,2021-05-09,602.0,3,Winter,1,0,0
LEAVE-93,PNR-1019,Vacation,2024-12-05,2024-12-14,10.0,2024,12,4,Thursday,December,10,Long (8-14 days),0,1,0,0,23.0,4,5.8,0,2,0,2,2023-01-01,704.0,4,Winter,0,0,0
LEAVE-97,PNR-1020,Maternity/Paternity,2018-03-13,2018-03-14,2.0,2018,3,1,Tuesday,March,2,Short (2-3 days),0,0,0,1,17.0,4,4.2,0,1,1,2,,,1,Spring,0,0,0
LEAVE-98,PNR-1020,Personal Leave,2019-07-14,2019-07-15,2.0,2019,7,3,Sunday,July,2,Short (2-3 days),0,0,1,0,17.0,4,4.2,0,1,1,2,2018-03-14,487.0,2,Summer,1,0,0
LEAVE-100,PNR-1020,Vacation,2020-10-22,2020-10-24,3.0,2020,10,4,Thursday,October,3,Short (2-3 days),0,1,0,0,17.0,4,4.2,0,1,1,2,2019-07-15,465.0,3,Fall,0,0,0
LEAVE-99,PNR-1020,Maternity/Paternity,2022-12-08,2022-12-17,10.0,2022,12,4,Thursday,December,10,Long (8-14 days),0,0,0,1,17.0,4,4.2,0,1,1,2,2020-10-24,775.0,4,Winter,0,0,0
LEAVE-101,PNR-1021,Vacation,2018-01-01,2018-01-01,1.0,2018,1,1,Monday,January,1,Single Day,0,1,0,0,24.0,5,4.8,2,2,0,1,,,1,Winter,0,1,0
LEAVE-104,PNR-1021,Maternity/Paternity,2022-01-15,2022-01-15,1.0,2022,1,1,Saturday,January,1,Single Day,0,0,0,1,24.0,5,4.8,2,2,0,1,2018-01-01,1475.0,2,Winter,1,0,0
LEAVE-103,PNR-1021,Sick Leave,2024-06-02,2024-06-11,10.0,2024,6,2,Sunday,June,10,Long (8-14 days),1,0,0,0,24.0,5,4.8,2,2,0,1,2022-01-15,869.0,3,Summer,1,0,0
LEAVE-105,PNR-1021,Sick Leave,2025-06-12,2025-06-21,10.0,2025,6,2,Thursday,June,10,Long (8-14 days),1,0,0,0,24.0,5,4.8,2,2,0,1,2024-06-11,366.0,4,Summer,0,0,0
LEAVE-102,PNR-1021,Vacation,2025-08-17,2025-08-18,2.0,2025,8,3,Sunday,August,2,Short (2-3 days),0,1,0,0,24.0,5,4.8,2,2,0,1,2025-06-21,57.0,5,Summer,1,0,0
LEAVE-109,PNR-1022,Sick Leave,2018-10-20,2018-10-20,1.0,2018,10,4,Saturday,October,1,Single Day,1,0,0,0,18.0,4,4.5,2,1,1,0,,,1,Fall,1,0,0
 LEAVE-108 ,PNR-1022,Personal Leave,2019-08-01,2019-08-10,10.0,2019,8,3,Thursday,August,10,Long (8-14 days),0,0,1,0,18.0,4,4.5,2,1,1,0,2018-10-20,285.0,2,Summer,0,0,0
LEAVE-110,PNR-1022,Sick Leave,2022-12-13,2022-12-17,5.0,2022,12,4,Tuesday,December,5,Medium (4-7 days),1,0,0,0,18.0,4,4.5,2,1,1,0,2019-08-10,1221.0,3,Winter,0,0,0
LEAVE-106,PNR-1022,Vacation,2025-08-12,2025-08-13,2.0,2025,8,3,Tuesday,August,2,Short (2-3 days),0,1,0,0,18.0,4,4.5,2,1,1,0,2022-12-17,969.0,4,Summer,0,0,0
LEAVE-114,PNR-1023,Personal Leave,2019-09-20,2019-09-24,5.0,2019,9,3,Friday,September,5,Medium (4-7 days),0,0,1,0,19.0,4,4.8,1,1,1,1,,,1,Fall,0,0,1
LEAVE-112,PNR-1023,Sick Leave,2021-02-24,2021-02-24,1.0,2021,2,1,Wednesday,February,1,Single Day,1,0,0,0,19.0,4,4.8,1,1,1,1,2019-09-24,519.0,2,Winter,0,0,0
LEAVE-115,PNR-1023,Vacation,2021-04-30,2021-05-02,3.0,2021,4,2,Friday,April,3,Short (2-3 days),0,1,0,0,19.0,4,4.8,1,1,1,1,2021-02-24,65.0,3,Spring,0,0,1
LEAVE-111,PNR-1023,Maternity/Paternity,2022-08-23,2022-09-01,10.0,2022,8,3,Tuesday,August,10,Long (8-14 days),0,0,0,1,19.0,4,4.8,1,1,1,1,2021-05-02,478.0,4,Summer,0,0,0
LEAVE-118,PNR-1024,Maternity/Paternity,2020-06-07,2020-06-16,10.0,2020,6,2,Sunday,June,10,Long (8-14 days),0,0,0,1,20.0,5,4.0,1,1,0,2,,,1,Summer,1,0,0
LEAVE-116,PNR-1024,Unknown,2022-10-21,2022-10-21,1.0,2022,10,4,Friday,October,1,Single Day,0,0,0,0,20.0,5,4.0,1,1,0,2,2020-06-16,857.0,2,Fall,0,0,1
LEAVE-119,PNR-1024,Sick Leave,2023-03-09,2023-03-11,3.0,2023,3,1,Thursday,March,3,Short (2-3 days),1,0,0,0,20.0,5,4.0,1,1,0,2,2022-10-21,139.0,3,Spring,0,0,0
LEAVE-120,PNR-1024,Vacation,2024-05-05,2024-05-05,1.0,2024,5,2,Sunday,May,1,Single Day,0,1,0,0,20.0,5,4.0,1,1,0,2,2023-03-11,421.0,4,Spring,1,0,0
LEAVE-117,PNR-1024,Maternity/Paternity,2025-09-06,2025-09-10,5.0,2025,9,3,Saturday,September,5,Medium (4-7 days),0,0,0,1,20.0,5,4.0,1,1,0,2,2024-05-05,489.0,5,Fall,1,0,0
LEAVE-121,PNR-1025,Personal Leave,2019-12-25,2020-01-03,10.0,2019,12,4,Wednesday,December,10,Long (8-14 days),0,0,1,0,40.0,4,10.0,1,1,2,0,,,1,Winter,0,0,0
LEAVE-124,PNR-1025,Personal Leave,2020-01-31,2020-02-09,10.0,2020,1,1,Friday,January,10,Long (8-14 days),0,0,1,0,40.0,4,10.0,1,1,2,0,2020-01-03,28.0,2,Winter,0,0,1
LEAVE-125,PNR-1025,Vacation,2023-01-08,2023-01-17,10.0,2023,1,1,Sunday,January,10,Long (8-14 days),0,1,0,0,40.0,4,10.0,1,1,2,0,2020-02-09,1064.0,3,Winter,1,0,0
LEAVE-123,PNR-1025,Sick Leave,2024-11-06,2024-11-15,10.0,2024,11,4,Wednesday,November,10,Long (8-14 days),1,0,0,0,40.0,4,10.0,1,1,2,0,2023-01-17,659.0,4,Fall,0,0,0
LEAVE-126,PNR-1026,Maternity/Paternity,2019-12-19,2019-12-23,5.0,2019,12,4,Thursday,December,5,Medium (4-7 days),0,0,0,1,16.0,3,5.3,0,0,1,2,,,1,Winter,0,0,0
LEAVE-130,PNR-1026,Personal Leave,2022-04-23,2022-04-23,1.0,2022,4,2,Saturday,April,1,Single Day,0,0,1,0,16.0,3,5.3,0,0,1,2,2019-12-23,852.0,2,Spring,1,0,0
LEAVE-128,PNR-1026,Maternity/Paternity,2023-12-20,2023-12-29,10.0,2023,12,4,Wednesday,December,10,Long (8-14 days),0,0,0,1,16.0,3,5.3,0,0,1,2,2022-04-23,606.0,3,Winter,0,0,0
LEAVE-132,PNR-1027,Maternity/Paternity,2018-09-21,2018-09-21,1.0,2018,9,3,Friday,September,1,Single Day,0,0,0,1,9.0,5,1.8,0,1,1,3,,,1,Fall,0,0,1
LEAVE-131,PNR-1027,Maternity/Paternity,2021-11-10,2021-11-12,3.0,2021,11,4,Wednesday,November,3,Short (2-3 days),0,0,0,1,9.0,5,1.8,0,1,1,3,2018-09-21,1146.0,2,Fall,0,0,0
LEAVE-134,PNR-1027,Maternity/Paternity,2021-12-01,2021-12-02,2.0,2021,12,4,Wednesday,December,2,Short (2-3 days),0,0,0,1,9.0,5,1.8,0,1,1,3,2021-11-12,19.0,3,Winter,0,0,0
LEAVE-133,PNR-1027,Vacation,2023-05-12,2023-05-13,2.0,2023,5,2,Friday,May,2,Short (2-3 days),0,1,0,0,9.0,5,1.8,0,1,1,3,2021-12-02,526.0,4,Spring,0,0,1
LEAVE-135,PNR-1027,Personal Leave,2025-01-14,2025-01-14,1.0,2025,1,1,Tuesday,January,1,Single Day,0,0,1,0,9.0,5,1.8,0,1,1,3,2023-05-13,612.0,5,Winter,0,0,0
LEAVE-137,PNR-1028,Personal Leave,2019-04-16,2019-04-25,10.0,2019,4,2,Tuesday,April,10,Long (8-14 days),0,0,1,0,32.0,5,6.4,1,0,1,1,,,1,Spring,0,0,0
LEAVE-139,PNR-1028,Sick Leave,2020-09-22,2020-09-26,5.0,2020,9,3,Tuesday,September,5,Medium (4-7 days),1,0,0,0,32.0,5,6.4,1,0,1,1,2019-04-25,516.0,2,Fall,0,0,0
LEAVE-138,PNR-1028,Maternity/Paternity,2022-03-21,2022-03-25,5.0,2022,3,1,Monday,March,5,Medium (4-7 days),0,0,0,1,32.0,5,6.4,1,0,1,1,2020-09-26,541.0,3,Spring,0,1,0
LEAVE-10003,PNR-1028,Unknown,2022-08-02,2022-08-11,10.0,2022,8,3,Tuesday,August,10,Long (8-14 days),0,0,0,0,32.0,5,6.4,1,0,1,1,2022-03-25,130.0,4,Summer,0,0,0
LEAVE-140,PNR-1028,Unknown,2025-05-04,2025-05-05,2.0,2025,5,2,Sunday,May,2,Short (2-3 days),0,0,0,0,32.0,5,6.4,1,0,1,1,2022-08-11,997.0,5,Spring,1,0,0
