recordid,monthend,department,headcount,hires,terminations,attritionrate,year,month,quarter,month_name,net_change,growth_rate,turnover_rate,hire_rate,headcount_3m_avg,hires_3m_avg,terminations_3m_avg,headcount_mom_change,headcount_mom_change_pct,dept_avg_headcount,headcount_category,attrition_risk,has_hires,has_terminations,is_growing,is_shrinking
HC-833,2025-09-29,Finance,183,2,0,0.0,2025,9,3,September,2,1.09,0.0,1.09,181.0,2.0,0.0,2.0,1.1,98.0,Very Large (100+),,1,0,1,0
HC-842,2025-10-30,Finance,184,1,0,0.0,2025,10,4,October,1,0.54,0.0,0.54,183.0,1.7,0.0,1.0,0.55,98.0,Very Large (100+),,1,0,1,0
HC-4,2018-01-30,Human Resources,2,2,0,0.0,2018,1,1,January,2,100.0,0.0,100.0,2.0,2.0,0.0,,,108.0,Small (<20),,1,0,1,0
HC-13,2018-02-27,Human Resources,4,2,0,0.0,2018,2,1,February,2,50.0,0.0,50.0,3.0,2.0,0.0,2.0,100.0,108.0,Small (<20),,1,0,1,0
HC-22,2018-03-30,Human Resources,6,2,0,0.0,2018,3,1,March,2,33.33,0.0,33.33,4.0,2.0,0.0,2.0,50.0,108.0,Small (<20),,1,0,1,0
HC-31,2018-04-29,Human Resources,7,1,0,0.0,2018,4,2,April,1,14.29,0.0,14.29,6.0,1.7,0.0,1.0,16.67,108.0,Small (<20),,1,0,1,0
HC-40,2018-05-30,Human Resources,10,3,0,0.0,2018,5,2,May,3,30.0,0.0,30.0,8.0,2.0,0.0,3.0,42.86,108.0,Small (<20),,1,0,1,0
HC-49,2018-06-29,Human Resources,15,5,0,0.0,2018,6,2,June,5,33.33,0.0,33.33,11.0,3.0,0.0,5.0,50.0,108.0,Small (<20),,1,0,1,0
HC-58,2018-07-30,Human Resources,17,2,0,0.0,2018,7,3,July,2,11.76,0.0,11.76,14.0,3.3,0.0,2.0,13.33,108.0,Small (<20),,1,0,1,0
HC-67,2018-08-30,Human Resources,19,2,0,0.0,2018,8,3,August,2,10.53,0.0,10.53,17.0,3.0,0.0,2.0,11.76,108.0,Small (<20),,1,0,1,0
HC-76,2018-09-29,Human Resources,20,1,0,0.0,2018,9,3,September,1,5.0,0.0,5.0,19.0,1.7,0.0,1.0,5.26,108.0,Small (<20),,1,0,1,0
HC-85,2018-10-30,Human Resources,24,4,0,0.0,2018,10,4,October,4,16.67,0.0,16.67,21.0,2.3,0.0,4.0,20.0,108.0,Medium (20-50),,1,0,1,0
HC-94,2018-11-29,Human Resources,27,3,0,0.0,2018,11,4,November,3,11.11,0.0,11.11,24.0,2.7,0.0,3.0,12.5,108.0,Medium (20-50),,1,0,1,0
HC-103,2018-12-30,Human Resources,28,1,0,0.0,2018,12,4,December,1,3.57,0.0,3.57,26.0,2.7,0.0,1.0,3.7,108.0,Medium (20-50),,1,0,1,0
HC-112,2019-01-30,Human Resources,31,3,0,0.0,2019,1,1,January,3,9.68,0.0,9.68,29.0,2.3,0.0,3.0,10.71,108.0,Medium (20-50),,1,0,1,0
HC-121,2019-02-27,Human Resources,33,2,0,0.0,2019,2,1,February,2,6.06,0.0,6.06,31.0,2.0,0.0,2.0,6.45,108.0,Medium (20-50),,1,0,1,0
HC-130,2019-03-30,Human Resources,37,4,0,0.0,2019,3,1,March,4,10.81,0.0,10.81,34.0,3.0,0.0,4.0,12.12,108.0,Medium (20-50),,1,0,1,0
HC-139,2019-04-29,Human Resources,39,3,0,0.0,2019,4,2,April,3,7.69,0.0,7.69,36.0,3.0,0.0,2.0,5.41,108.0,Medium (20-50),,1,0,1,0
HC-148,2019-05-30,Human Resources,42,3,1,0.0238,2019,5,2,May,2,4.76,2.38,7.14,39.0,3.3,0.3,3.0,7.69,108.0,Medium (20-50),Low (<5%),1,1,1,0
HC-157,2019-06-29,Human Resources,43,1,0,0.0,2019,6,2,June,1,2.33,0.0,2.33,41.0,2.3,0.3,1.0,2.38,108.0,Medium (20-50),,1,0,1,0
HC-166,2019-07-30,Human Resources,43,0,0,0.0,2019,7,3,July,0,0.0,0.0,0.0,43.0,1.3,0.3,0.0,0.0,108.0,Medium (20-50),,0,0,0,0
HC-175,2019-08-30,Human Resources,44,1,0,0.0,2019,8,3,August,1,2.27,0.0,2.27,43.0,0.7,0.0,1.0,2.33,108.0,Medium (20-50),,1,0,1,0
HC-184,2019-09-29,Human Resources,44,0,0,0.0,2019,9,3,September,0,0.0,0.0,0.0,44.0,0.3,0.0,0.0,0.0,108.0,Medium (20-50),,0,0,0,0
HC-193,2019-10-30,Human Resources,46,2,0,0.0,2019,10,4,October,2,4.35,0.0,4.35,45.0,1.0,0.0,2.0,4.55,108.0,Medium (20-50),,1,0,1,0
HC-202,2019-11-29,Human Resources,50,4,0,0.0,2019,11,4,November,4,8.0,0.0,8.0,47.0,2.0,0.0,4.0,8.7,108.0,Medium (20-50),,1,0,1,0
HC-211,2019-12-30,Human Resources,51,1,0,0.0,2019,12,4,December,1,1.96,0.0,1.96,49.0,2.3,0.0,1.0,2.0,108.0,Large (50-100),,1,0,1,0
HC-220,2020-01-30,Human Resources,54,3,0,0.0,2020,1,1,January,3,5.56,0.0,5.56,52.0,2.7,0.0,3.0,5.88,108.0,Large (50-100),,1,0,1,0
HC-229,2020-02-28,Human Resources,59,6,1,0.0169,2020,2,1,February,5,8.47,1.69,10.17,55.0,3.3,0.3,5.0,9.26,108.0,Large (50-100),Low (<5%),1,1,1,0
HC-238,2020-03-30,Human Resources,60,1,0,0.0,2020,3,1,March,1,1.67,0.0,1.67,58.0,3.3,0.3,1.0,1.69,108.0,Large (50-100),,1,0,1,0
HC-247,2020-04-29,Human Resources,62,2,0,0.0,2020,4,2,April,2,3.23,0.0,3.23,60.0,3.0,0.3,2.0,3.33,108.0,Large (50-100),,1,0,1,0
HC-256,2020-05-30,Human Resources,69,8,1,0.0145,2020,5,2,May,7,10.14,1.45,11.59,64.0,3.7,0.3,7.0,11.29,108.0,Large (50-100),Low (<5%),1,1,1,0
HC-265,2020-06-29,Human Resources,71,3,1,0.0141,2020,6,2,June,2,2.82,1.41,4.23,67.0,4.3,0.7,2.0,2.9,108.0,Large (50-100),Low (<5%),1,1,1,0
HC-274,2020-07-30,Human Resources,71,0,0,0.0,2020,7,3,July,0,0.0,0.0,0.0,70.0,3.7,0.7,0.0,0.0,108.0,Large (50-100),,0,0,0,0
HC-283,2020-08-30,Human Resources,72,2,1,0.0139,2020,8,3,August,1,1.39,1.39,2.78,71.0,1.7,0.7,1.0,1.41,108.0,Large (50-100),Low (<5%),1,1,1,0
HC-292,2020-09-29,Human Resources,74,2,0,0.0,2020,9,3,September,2,2.7,0.0,2.7,72.0,1.3,0.3,2.0,2.78,108.0,Large (50-100),,1,0,1,0
HC-301,2020-10-30,Human Resources,75,2,1,0.0133,2020,10,4,October,1,1.33,1.33,2.67,74.0,2.0,0.7,1.0,1.35,108.0,Large (50-100),Low (<5%),1,1,1,0
HC-310,2020-11-29,Human Resources,76,1,0,0.0,2020,11,4,November,1,1.32,0.0,1.32,75.0,1.7,0.3,1.0,1.33,108.0,Large (50-100),,1,0,1,0
HC-319,2020-12-30,Human Resources,81,5,0,0.0,2020,12,4,December,5,6.17,0.0,6.17,77.0,2.7,0.3,5.0,6.58,108.0,Large (50-100),,1,0,1,0
HC-328,2021-01-30,Human Resources,82,1,0,0.0,2021,1,1,January,1,1.22,0.0,1.22,80.0,2.3,0.0,1.0,1.23,108.0,Large (50-100),,1,0,1,0
HC-337,2021-02-27,Human Resources,86,4,0,0.0,2021,2,1,February,4,4.65,0.0,4.65,83.0,3.3,0.0,4.0,4.88,108.0,Large (50-100),,1,0,1,0
HC-346,2021-03-30,Human Resources,90,4,0,0.0,2021,3,1,March,4,4.44,0.0,4.44,86.0,3.0,0.0,4.0,4.65,108.0,Large (50-100),,1,0,1,0
HC-355,2021-04-29,Human Resources,92,3,1,0.0109,2021,4,2,April,2,2.17,1.09,3.26,89.0,3.7,0.3,2.0,2.22,108.0,Large (50-100),Low (<5%),1,1,1,0
HC-364,2021-05-30,Human Resources,95,5,2,0.0211,2021,5,2,May,3,3.16,2.11,5.26,92.0,4.0,1.0,3.0,3.26,108.0,Large (50-100),Low (<5%),1,1,1,0
HC-373,2021-06-29,Human Resources,96,2,0,0.0,2021,6,2,June,2,2.08,0.0,2.08,94.0,3.3,1.0,1.0,1.05,108.0,Large (50-100),,1,0,1,0
HC-382,2021-07-30,Human Resources,100,3,0,0.0,2021,7,3,July,3,3.0,0.0,3.0,97.0,3.3,0.7,4.0,4.17,108.0,Large (50-100),,1,0,1,0
HC-391,2021-08-30,Human Resources,103,3,0,0.0,2021,8,3,August,3,2.91,0.0,2.91,100.0,2.7,0.0,3.0,3.0,108.0,Very Large (100+),,1,0,1,0
HC-400,2021-09-29,Human Resources,103,1,1,0.0097,2021,9,3,September,0,0.0,0.97,0.97,102.0,2.3,0.3,0.0,0.0,108.0,Very Large (100+),Low (<5%),1,1,0,0
HC-409,2021-10-30,Human Resources,107,4,0,0.0,2021,10,4,October,4,3.74,0.0,3.74,104.0,2.7,0.3,4.0,3.88,108.0,Very Large (100+),,1,0,1,0
HC-418,2021-11-29,Human Resources,108,1,0,0.0,2021,11,4,November,1,0.93,0.0,0.93,106.0,2.0,0.3,1.0,0.93,108.0,Very Large (100+),,1,0,1,0
HC-427,2021-12-30,Human Resources,109,1,0,0.0,2021,12,4,December,1,0.92,0.0,0.92,108.0,2.0,0.0,1.0,0.93,108.0,Very Large (100+),,1,0,1,0
HC-436,2022-01-30,Human Resources,112,4,0,0.0,2022,1,1,January,4,3.57,0.0,3.57,110.0,2.0,0.0,3.0,2.75,108.0,Very Large (100+),,1,0,1,0
HC-445,2022-02-27,Human Resources,115,3,1,0.0087,2022,2,1,February,2,1.74,0.87,2.61,112.0,2.7,0.3,3.0,2.68,108.0,Very Large (100+),Low (<5%),1,1,1,0
HC-454,2022-03-30,Human Resources,119,4,0,0.0,2022,3,1,March,4,3.36,0.0,3.36,115.0,3.7,0.3,4.0,3.48,108.0,Very Large (100+),,1,0,1,0
HC-463,2022-04-29,Human Resources,121,3,1,0.0083,2022,4,2,April,2,1.65,0.83,2.48,118.0,3.3,0.7,2.0,1.68,108.0,Very Large (100+),Low (<5%),1,1,1,0
HC-472,2022-05-30,Human Resources,121,0,0,0.0,2022,5,2,May,0,0.0,0.0,0.0,120.0,2.3,0.3,0.0,0.0,108.0,Very Large (100+),,0,0,0,0
HC-481,2022-06-29,Human Resources,124,4,1,0.0081,2022,6,2,June,3,2.42,0.81,3.23,122.0,2.3,0.7,3.0,2.48,108.0,Very Large (100+),Low (<5%),1,1,1,0
HC-490,2022-07-30,Human Resources,125,1,0,0.0,2022,7,3,July,1,0.8,0.0,0.8,123.0,1.7,0.3,1.0,0.81,108.0,Very Large (100+),,1,0,1,0
