candidateid,positionid,jobtitle,applicationdate,source,stage,dateatstage,application_year,application_month,application_quarter,application_month_name,application_day_of_week,stage_number,is_applied,is_screened,is_interview1,is_interview2,is_offer,is_hired,is_rejected,is_linkedin,is_indeed,is_referral,is_company_website,is_job_fair,days_in_process,applications_per_position,hires_per_position,rejections_per_position,stage_count,furthest_stage,application_season,recruitment_outcome
CAND-4141,POS-100,Marketing,2025-08-28,Job Fair,Applied,2025-08-28,2025,8,3,August,Thursday,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,32,3,6,1,1,Summer,In Progress - Early
CAND-4142,POS-100,Marketing,2025-08-28,Job Fair,Rejected,,2025,8,3,August,Thursday,7,0,0,0,0,0,0,1,0,0,0,0,1,0.0,32,3,6,1,7,Summer,Rejected
CAND-4135,POS-100,Marketing,2025-09-18,Job Fair,Applied,2025-09-18,2025,9,3,September,Thursday,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,32,3,6,1,1,Fall,In Progress - Early
CAND-4136,POS-100,Unknown,2025-09-18,Company Website,Rejected,2025-09-21,2025,9,3,September,Thursday,7,0,0,0,0,0,0,1,0,0,0,1,0,3.0,32,3,6,2,7,Fall,Rejected
CAND-4136,POS-100,Marketing,2025-09-18,Company Website,Rejected,2025-09-21,2025,9,3,September,Thursday,7,0,0,0,0,0,0,1,0,0,0,1,0,3.0,32,3,6,2,7,Fall,Rejected
CAND-4147,POS-100,Marketing,2025-09-27,Job Fair,Screened,2025-10-02,2025,9,3,September,Saturday,2,0,1,0,0,0,0,0,0,0,0,0,1,5.0,32,3,6,1,2,Fall,In Progress - Early
CAND-4149,POS-100,Marketing,2025-09-27,Unknown,Rejected,,2025,9,3,September,Saturday,7,0,0,0,0,0,0,1,0,0,0,0,0,0.0,32,3,6,1,7,Fall,Rejected
CAND-4143,POS-100,Marketing,2025-10-02,Job Fair,Applied,2025-10-02,2025,10,4,October,Thursday,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,32,3,6,1,1,Fall,In Progress - Early
CAND-4145,POS-100,Marketing,2025-10-02,Company Website,Rejected,2025-10-11,2025,10,4,October,Thursday,7,0,0,0,0,0,0,1,0,0,0,1,0,9.0,32,3,6,1,7,Fall,Rejected
CAND-4129,POS-100,Marketing,2025-10-07,Unknown,Applied,,2025,10,4,October,Tuesday,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,32,3,6,2,1,Fall,In Progress - Early
CAND-4129,POS-100,Marketing,2025-10-07,Linkedin,Applied,2025-10-07,2025,10,4,October,Tuesday,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,32,3,6,2,1,Fall,In Progress - Early
CAND-4131,POS-100,Marketing,2025-10-07,Unknown,Unknown,2025-10-20,2025,10,4,October,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,32,3,6,1,0,Fall,Unknown
CAND-4134,POS-100,Marketing,2025-10-07,Employee Referral,Unknown,2025-11-08,2025,10,4,October,Tuesday,0,0,0,0,0,0,0,0,0,0,1,0,0,32.0,32,3,6,1,0,Fall,Unknown
CAND-4116,POS-100,Marketing,2025-10-16,Job Fair,Unknown,,2025,10,4,October,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,32,3,6,1,0,Fall,Unknown
CAND-4118,POS-100,Marketing,2025-10-16,Unknown,Interview 1,2025-10-23,2025,10,4,October,Thursday,3,0,0,1,0,0,0,0,0,0,0,0,0,7.0,32,3,6,2,3,Fall,In Progress - Advanced
CAND-4118,POS-100,Marketing,2025-10-16,Company Website,Interview 1,2025-10-23,2025,10,4,October,Thursday,3,0,0,1,0,0,0,0,0,0,0,1,0,7.0,32,3,6,2,3,Fall,In Progress - Advanced
CAND-4120,POS-100,Marketing,2025-10-16,Company Website,Offer,2025-11-06,2025,10,4,October,Thursday,5,0,0,0,0,1,0,0,0,0,0,1,0,21.0,32,3,6,1,5,Fall,Offer Stage
CAND-4121,POS-100,Marketing,2025-10-16,Linkedin,Hired,,2025,10,4,October,Thursday,6,0,0,0,0,0,1,0,1,0,0,0,0,0.0,32,3,6,1,6,Fall,Hired
CAND-4139,POS-100,Marketing,2025-10-26,Job Fair,Screened,2025-10-31,2025,10,4,October,Sunday,2,0,1,0,0,0,0,0,0,0,0,0,1,5.0,32,3,6,1,2,Fall,In Progress - Early
CAND-4140,POS-100,Marketing,2025-10-26,Company Website,Rejected,2025-11-07,2025,10,4,October,Sunday,7,0,0,0,0,0,0,1,0,0,0,1,0,12.0,32,3,6,1,7,Fall,Rejected
CAND-4176,POS-101,It,2025-08-31,Indeed,Rejected,2025-08-31,2025,8,3,August,Sunday,7,0,0,0,0,0,0,1,0,1,0,0,0,0.0,25,2,7,1,7,Summer,Rejected
CAND-4157,POS-101,It,2025-09-02,Employee Referral,Rejected,2025-09-02,2025,9,3,September,Tuesday,7,0,0,0,0,0,0,1,0,0,1,0,0,0.0,25,2,7,1,7,Fall,Rejected
CAND-4168,POS-101,It,2025-09-05,Unknown,Rejected,2025-09-05,2025,9,3,September,Friday,7,0,0,0,0,0,0,1,0,0,0,0,0,0.0,25,2,7,1,7,Fall,Rejected
CAND-4158,POS-101,It,2025-09-18,Company Website,Unknown,2025-09-18,2025,9,3,September,Thursday,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,25,2,7,1,0,Fall,Unknown
CAND-4159,POS-101,It,2025-09-18,Indeed,Unknown,2025-09-23,2025,9,3,September,Thursday,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,25,2,7,1,0,Fall,Unknown
CAND-4160,POS-101,It,2025-09-18,Company Website,Interview 1,2025-09-25,2025,9,3,September,Thursday,3,0,0,1,0,0,0,0,0,0,0,1,0,7.0,25,2,7,1,3,Fall,In Progress - Advanced
CAND-4161,POS-101,It,2025-09-18,Company Website,Interview 2,,2025,9,3,September,Thursday,4,0,0,0,1,0,0,0,0,0,0,1,0,0.0,25,2,7,1,4,Fall,In Progress - Advanced
CAND-4162,POS-101,It,2025-09-18,Company Website,Offer,2025-10-02,2025,9,3,September,Thursday,5,0,0,0,0,1,0,0,0,0,0,1,0,14.0,25,2,7,1,5,Fall,Offer Stage
CAND-4163,POS-101,It,2025-09-18,Unknown,Hired,2025-10-05,2025,9,3,September,Thursday,6,0,0,0,0,0,1,0,0,0,0,0,0,17.0,25,2,7,1,6,Fall,Hired
CAND-4181,POS-101,It,2025-10-03,Company Website,Rejected,2025-10-03,2025,10,4,October,Friday,7,0,0,0,0,0,0,1,0,0,0,1,0,0.0,25,2,7,1,7,Fall,Rejected
CAND-4175,POS-101,It,2025-10-04,Company Website,Rejected,2025-10-04,2025,10,4,October,Saturday,7,0,0,0,0,0,0,1,0,0,0,1,0,0.0,25,2,7,1,7,Fall,Rejected
CAND-4165,POS-101,It,2025-10-09,Indeed,Screened,2025-10-12,2025,10,4,October,Thursday,2,0,1,0,0,0,0,0,0,1,0,0,0,3.0,25,2,7,1,2,Fall,In Progress - Early
CAND-4166,POS-101,It,2025-10-09,Company Website,Interview 1,,2025,10,4,October,Thursday,3,0,0,1,0,0,0,0,0,0,0,1,0,0.0,25,2,7,1,3,Fall,In Progress - Advanced
CAND-4177,POS-101,It,2025-10-15,Job Fair,Applied,2025-10-15,2025,10,4,October,Wednesday,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,25,2,7,1,1,Fall,In Progress - Early
CAND-4178,POS-101,It,2025-10-15,Job Fair,Screened,2025-10-21,2025,10,4,October,Wednesday,2,0,1,0,0,0,0,0,0,0,0,0,1,6.0,25,2,7,1,2,Fall,In Progress - Early
CAND-4179,POS-101,It,2025-10-15,Job Fair,Interview 1,2025-10-27,2025,10,4,October,Wednesday,3,0,0,1,0,0,0,0,0,0,0,0,1,12.0,25,2,7,2,3,Fall,In Progress - Advanced
CAND-4179,POS-101,It,2025-10-15,Job Fair,Interview 1,2025-10-27,2025,10,4,October,Wednesday,3,0,0,1,0,0,0,0,0,0,0,0,1,12.0,25,2,7,2,3,Fall,In Progress - Advanced
CAND-4169,POS-101,It,2025-10-17,Linkedin,Applied,,2025,10,4,October,Friday,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,25,2,7,1,1,Fall,In Progress - Early
CAND-4171,POS-101,It,2025-10-17,Company Website,Interview 1,,2025,10,4,October,Friday,3,0,0,1,0,0,0,0,0,0,0,1,0,0.0,25,2,7,1,3,Fall,In Progress - Advanced
CAND-4172,POS-101,It,2025-10-17,Indeed,Interview 2,2025-11-02,2025,10,4,October,Friday,4,0,0,0,1,0,0,0,0,1,0,0,0,16.0,25,2,7,1,4,Fall,In Progress - Advanced
CAND-4173,POS-101,It,2025-10-17,Company Website,Unknown,2025-11-05,2025,10,4,October,Friday,0,0,0,0,0,0,0,0,0,0,0,1,0,19.0,25,2,7,1,0,Fall,Unknown
CAND-4174,POS-101,It,2025-10-17,Job Fair,Hired,2025-11-11,2025,10,4,October,Friday,6,0,0,0,0,0,1,0,0,0,0,0,1,25.0,25,2,7,1,6,Fall,Hired
CAND-4184,POS-101,It,2025-10-27,Employee Referral,Applied,2025-10-27,2025,10,4,October,Monday,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0,25,2,7,1,1,Fall,In Progress - Early
CAND-4185,POS-101,It,2025-10-27,Job Fair,Rejected,2025-11-03,2025,10,4,October,Monday,7,0,0,0,0,0,0,1,0,0,0,0,1,7.0,25,2,7,2,7,Fall,Rejected
CAND-4185,POS-101,It,2025-10-27,Job Fair,Rejected,2025-11-03,2025,10,4,October,Monday,7,0,0,0,0,0,0,1,0,0,0,0,1,7.0,25,2,7,2,7,Fall,Rejected
CAND-4210,POS-102,Marketing,2025-10-02,Linkedin,Applied,2025-10-02,2025,10,4,October,Thursday,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,18,0,10,1,1,Fall,In Progress - Early
CAND-4212,POS-102,Marketing,2025-10-02,Job Fair,Rejected,2025-10-15,2025,10,4,October,Thursday,7,0,0,0,0,0,0,1,0,0,0,0,1,13.0,18,0,10,1,7,Fall,Rejected
CAND-4207,POS-102,Marketing,2025-10-06,Indeed,Applied,2025-10-06,2025,10,4,October,Monday,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,18,0,10,1,1,Fall,In Progress - Early
CAND-4208,POS-102,Unknown,2025-10-06,Job Fair,Rejected,2025-10-12,2025,10,4,October,Monday,7,0,0,0,0,0,0,1,0,0,0,0,1,6.0,18,0,10,1,7,Fall,Rejected
CAND-4189,POS-102,Marketing,2025-10-07,Linkedin,Applied,2025-10-07,2025,10,4,October,Tuesday,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,18,0,10,1,1,Fall,In Progress - Early
CAND-4190,POS-102,Marketing,2025-10-07,Linkedin,Unknown,2025-10-11,2025,10,4,October,Tuesday,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0,18,0,10,1,0,Fall,Unknown
CAND-4191,POS-102,Marketing,2025-10-07,Indeed,Rejected,2025-10-18,2025,10,4,October,Tuesday,7,0,0,0,0,0,0,1,0,1,0,0,0,11.0,18,0,10,1,7,Fall,Rejected
CAND-4193,POS-102,Marketing,2025-10-07,Unknown,Rejected,2025-10-12,2025,10,4,October,Tuesday,7,0,0,0,0,0,0,1,0,0,0,0,0,5.0,18,0,10,2,7,Fall,Rejected
CAND-4193,POS-102,Marketing,2025-10-07,Job Fair,Rejected,2025-10-12,2025,10,4,October,Tuesday,7,0,0,0,0,0,0,1,0,0,0,0,1,5.0,18,0,10,2,7,Fall,Rejected
CAND-4202,POS-102,Marketing,2025-10-13,Company Website,Unknown,2025-10-13,2025,10,4,October,Monday,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,18,0,10,1,0,Fall,Unknown
CAND-4195,POS-102,Marketing,2025-10-14,Employee Referral,Unknown,2025-10-21,2025,10,4,October,Tuesday,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,18,0,10,1,0,Fall,Unknown
CAND-4196,POS-102,Marketing,2025-10-14,Job Fair,Rejected,2025-10-23,2025,10,4,October,Tuesday,7,0,0,0,0,0,0,1,0,0,0,0,1,9.0,18,0,10,2,7,Fall,Rejected
CAND-4196,POS-102,Marketing,2025-10-14,Job Fair,Rejected,2025-10-23,2025,10,4,October,Tuesday,7,0,0,0,0,0,0,1,0,0,0,0,1,9.0,18,0,10,2,7,Fall,Rejected
CAND-4198,POS-102,Marketing,2025-10-17,Indeed,Unknown,2025-10-17,2025,10,4,October,Friday,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,18,0,10,1,0,Fall,Unknown
CAND-4200,POS-102,Marketing,2025-10-17,Unknown,Unknown,2025-10-25,2025,10,4,October,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,18,0,10,1,0,Fall,Unknown
CAND-4201,POS-102,Unknown,2025-10-17,Employee Referral,Rejected,2025-10-28,2025,10,4,October,Friday,7,0,0,0,0,0,0,1,0,0,1,0,0,11.0,18,0,10,1,7,Fall,Rejected
CAND-4206,POS-102,Marketing,2025-10-20,Job Fair,Rejected,,2025,10,4,October,Monday,7,0,0,0,0,0,0,1,0,0,0,0,1,0.0,18,0,10,1,7,Fall,Rejected
