LeaveID,EmployeeID,LeaveType,StartDate,EndDate,Days
"LEAVE-35","PNR-1007","Vacation","2019-08-09","2019-08-09","1"
" LEAVE-36 ","","Maternity/Paternity","2020-03-14","2020-03-18","5"
"LEAVE-37","PNR-1008","Maternity/Paternity","2021-06-03","2021-06-04",""
"LEAVE-38","PNR-1008","Vacation","2024-09-24","2024-09-25","2"
"LEAVE-39","PNR-1008","Vacation","2025-02-13","2025-02-22","10"
"LEAVE-39","PNR-1008","Vacation","2025-02-13","2025-02-22","10"
"LEAVE-41","PNR-1009","Sick Leave","2024-01-26","2024-01-26","1"
""," PNR-1009 ","Sick Leave","","2019-12-26","1"
" LEAVE-43 "," PNR-1009 "," Maternity/Paternity ","2021-09-29","2021-09-29","1"
"LEAVE-44","PNR-1009","#N/A","2024-05-03","2024-05-05","3"
"LEAVE-45","PNR-1009","Personal Leave","2019-10-14","2019-10-23","10"
"LEAVE-46","PNR-1010","Personal Leave"," 2020-07-31 ","2020-07-31","1"
"LEAVE-47","PNR-1010","Vacation"," 2023-08-29 ","2023-09-02","5"
"LEAVE-48","PNR-1010","Vacation"," 2019-11-18 ","2019-11-22","5"
"LEAVE-49","PNR-1010","Maternity/Paternity","2020-01-26","2020-01-26","1"
"LEAVE-50","PNR-1010","Personal Leave","2019-10-07","2019-10-08","2"
"LEAVE-50","PNR-1010","Personal Leave","2019-10-07","2019-10-08","2"
" LEAVE-52 ","PNR-1011","Personal Leave","2021-04-13","2021-04-13","1"
"LEAVE-53","PNR-1011","Sick Leave"," 2021-03-11 ","2021-03-12",""
"LEAVE-54","","#N/A","2025-05-29","2025-06-07","10"
"LEAVE-55","PNR-1011"," Maternity/Paternity ","2020-10-21","2020-10-25","5"
"LEAVE-56","PNR-1012","Maternity/Paternity"," 2023-09-03 ","2023-09-12","10"
"LEAVE-57"," PNR-1012 ","Maternity/Paternity","2020-06-25","2020-06-25","1"
"LEAVE-58","PNR-1012","","2023-01-08","2023-01-08","1"
"LEAVE-59","PNR-1012","Personal Leave","2022-10-02","2022-10-03","2"
"LEAVE-60","PNR-1012"," Personal Leave ","2020-07-10","2020-07-10","1"
"LEAVE-61","PNR-1013","Maternity/Paternity","2018-12-30","2019-01-08",""
"LEAVE-61","PNR-1013","Maternity/Paternity","2018-12-30","2019-01-08","10"
"LEAVE-63"," PNR-1013 ","Personal Leave","2022-07-26","2022-07-26","1"
"LEAVE-64","PNR-1013","Maternity/Paternity","2025-09-14","","2"
"LEAVE-65","PNR-1013","Personal Leave","2025-01-05"," 2025-01-14 ","10"
"LEAVE-66","PNR-1014","Maternity/Paternity","2022-05-21","2022-05-23","3"
"LEAVE-67","PNR-1014","Personal Leave","2024-05-22","2024-05-22","1"
"","PNR-1014","Personal Leave"," 2019-10-06 ","2019-10-15","10"
"LEAVE-69","PNR-1014","Vacation","2023-01-31","2023-02-02","3"
"LEAVE-70","PNR-1014","Maternity/Paternity","2024-05-29","2024-06-07","10"
"LEAVE-71","PNR-1015","Vacation","2020-10-14","2020-10-14","1"
"LEAVE-71","PNR-1015","Vacation","2020-10-14","2020-10-14","1"
"LEAVE-73","PNR-1015","Personal Leave","2018-11-01","2018-11-05","5"
"LEAVE-74","PNR-1015","Personal Leave","2021-05-03","2021-05-07","5"
"LEAVE-75","PNR-1015","Vacation","2021-07-09","2021-07-11","3"
"LEAVE-76","PNR-1016","Personal Leave","2023-04-18","2023-04-22","5"
" LEAVE-77 ","PNR-1016","Maternity/Paternity","2024-09-21","2024-09-22","2"
" LEAVE-78 ","PNR-1016","Sick Leave","2024-04-11","2024-04-11","1"
"LEAVE-79","PNR-1016","Vacation","2020-10-15","2020-10-16","2"
"LEAVE-80","PNR-1016","Sick Leave","2023-07-16","2023-07-25","10"
"LEAVE-81","PNR-1017","Maternity/Paternity","2022-02-08","2022-02-08","1"
"LEAVE-82","PNR-1017","Sick Leave","2024-05-13","2024-05-13","1"
"LEAVE-83","PNR-1017","Maternity/Paternity","2018-10-27","2018-10-31","5"
"LEAVE-84","","Personal Leave","2022-05-01","2022-05-02","2"
"LEAVE-85","PNR-1017","Personal Leave","2022-07-26","2022-07-28","3"
"LEAVE-86","PNR-1018","Personal Leave","2021-08-09","2021-08-11","3"
"LEAVE-87","PNR-1018","Personal Leave","2019-07-28","2019-07-30","3"
"LEAVE-88","PNR-1018","Maternity/Paternity","2020-01-20"," 2020-01-20 ","1"
"LEAVE-89","PNR-1018","Personal Leave","2020-02-06","2020-02-06","1"
" LEAVE-90 ","PNR-1018","Personal Leave","2022-04-08","2022-04-09","2"
"LEAVE-91","PNR-1019","Sick Leave","","2020-08-08","5"
"LEAVE-92","PNR-1019","Maternity/Paternity","2021-02-22","2021-03-03","10"
"LEAVE-93","PNR-1019","Vacation","2024-12-05","2024-12-14","10"
"LEAVE-94","PNR-1019","Maternity/Paternity","2023-01-01","2023-01-01","1"
"LEAVE-95","PNR-1019","Vacation","2021-05-08","2021-05-09","2"
"LEAVE-95","PNR-1019","Vacation","2021-05-08","2021-05-09","2"
"LEAVE-97","PNR-1020","Maternity/Paternity","2018-03-13","2018-03-14","2"
"LEAVE-98","PNR-1020","Personal Leave","2019-07-14","2019-07-15","2"
"LEAVE-99","PNR-1020","Maternity/Paternity","2022-12-08","2022-12-17","10"
"LEAVE-100","PNR-1020","Vacation","2020-10-22","2020-10-24","3"
"LEAVE-101"," PNR-1021 "," Vacation ","2018-01-01","2018-01-01","1"
"LEAVE-102","PNR-1021","Vacation","2025-08-17","2025-08-18","2"
"LEAVE-103","PNR-1021","Sick Leave","2024-06-02","2024-06-11","10"
"LEAVE-104","PNR-1021","Maternity/Paternity","2022-01-15","2022-01-15","1"
"LEAVE-105","PNR-1021","Sick Leave","2025-06-12","2025-06-21","10"
"LEAVE-106","PNR-1022","Vacation","2025-08-12","2025-08-13","2"
"LEAVE-106","PNR-1022","Vacation","2025-08-12","2025-08-13","2"
" LEAVE-108 ","PNR-1022"," Personal Leave ","2019-08-01","2019-08-10","10"
"LEAVE-109","PNR-1022","Sick Leave","2018-10-20","2018-10-20","1"
"LEAVE-110","PNR-1022","Sick Leave","2022-12-13","2022-12-17","5"
"LEAVE-111","PNR-1023","Maternity/Paternity","2022-08-23","2022-09-01","10"
"LEAVE-112","PNR-1023","Sick Leave","2021-02-24","2021-02-24","1"
"LEAVE-112","PNR-1023","Sick Leave","2021-02-24","2021-02-24","1"
"LEAVE-114","PNR-1023","Personal Leave","2019-09-20","2019-09-24","5"
"LEAVE-115","PNR-1023","Vacation","2021-04-30","2021-05-02","3"
"LEAVE-116","PNR-1024","#N/A","2022-10-21","2022-10-21","1"
"LEAVE-117","PNR-1024","Maternity/Paternity","2025-09-06","2025-09-10","5"
"LEAVE-118","PNR-1024","Maternity/Paternity","2020-06-07","2020-06-16","10"
"LEAVE-119"," PNR-1024 ","Sick Leave","2023-03-09","2023-03-11","3"
"LEAVE-120","PNR-1024","Vacation","2024-05-05","2024-05-05","1"
"LEAVE-121","PNR-1025","Personal Leave","2019-12-25","2020-01-03","10"
"LEAVE-121","PNR-1025","Personal Leave","2019-12-25","2020-01-03","10"
"LEAVE-123","PNR-1025","Sick Leave","2024-11-06","2024-11-15","10"
"LEAVE-124","PNR-1025","Personal Leave","2020-01-31","2020-02-09","10"
"LEAVE-125","PNR-1025","Vacation","2023-01-08","2023-01-17","10"
"LEAVE-126","PNR-1026","Maternity/Paternity","2019-12-19","2019-12-23","5"
"LEAVE-126","PNR-1026","Maternity/Paternity","2019-12-19","2019-12-23","5"
"LEAVE-128","PNR-1026","Maternity/Paternity","2023-12-20","2023-12-29","10"
"LEAVE-128","PNR-1026","Maternity/Paternity","2023-12-20","2023-12-29","10"
"LEAVE-130","PNR-1026","Personal Leave","2022-04-23","2022-04-23","1"
"LEAVE-131","PNR-1027","Maternity/Paternity","2021-11-10","2021-11-12","3"
"LEAVE-132","PNR-1027","Maternity/Paternity","2018-09-21","2018-09-21","1"
"LEAVE-133","PNR-1027","Vacation","2023-05-12","2023-05-13","2"
"LEAVE-134","PNR-1027","Maternity/Paternity","2021-12-01","2021-12-02","2"
"LEAVE-135","PNR-1027","Personal Leave","2025-01-14","2025-01-14","1"
"","PNR-1028","","2022-08-02","2022-08-11","10"
"LEAVE-137","PNR-1028","Personal Leave","2019-04-16","2019-04-25","10"
"LEAVE-138","PNR-1028","Maternity/Paternity"," 2022-03-21 ","2022-03-25","5"
"LEAVE-139","PNR-1028","Sick Leave","2020-09-22","2020-09-26","5"
"LEAVE-140","PNR-1028","#N/A"," 2025-05-04 ","2025-05-05","2"
"LEAVE-141","PNR-1029","Personal Leave","2023-05-06"," 2023-05-10 ","5"
"LEAVE-142","PNR-1029","Sick Leave","2020-05-03","2020-05-07","5"
"LEAVE-143","PNR-1029","Vacation","2021-06-26","2021-06-27","2"
"LEAVE-144","","Personal Leave","2021-05-28","2021-05-30","3"
"LEAVE-144","PNR-1029","Personal Leave","2021-05-28","2021-05-30","3"
"LEAVE-146","PNR-1030","Vacation","2021-10-13","2021-10-17","5"
"LEAVE-147","PNR-1030","Vacation","2018-04-26","2018-04-26","1"
"LEAVE-148","PNR-1030","Maternity/Paternity","2019-10-12","2019-10-21","10"
"LEAVE-148","PNR-1030","Maternity/Paternity","2019-10-12","2019-10-21","10"
"LEAVE-150","PNR-1030","Maternity/Paternity","2019-01-29","2019-02-02","5"
"LEAVE-151","","","2022-10-30","2022-11-01","3"
"LEAVE-152","PNR-1031","Maternity/Paternity","2020-12-11","2020-12-12",""
"LEAVE-153","PNR-1031","Personal Leave","2022-06-21","2022-06-30","10"
"LEAVE-154","PNR-1031","Sick Leave","2024-09-01","2024-09-02","2"
"LEAVE-155","PNR-1031","Sick Leave","2023-03-12","2023-03-21","10"
"LEAVE-156","PNR-1032","Vacation","2019-01-23","2019-02-01","10"
"LEAVE-157","PNR-1032","Vacation","2021-04-10","2021-04-19","10"
"LEAVE-157","PNR-1032","Vacation","2021-04-10","2021-04-19","10"
"LEAVE-159","PNR-1032","Personal Leave","2025-01-01","2025-01-03","3"
"LEAVE-160","PNR-1032","Personal Leave","2020-06-09"," 2020-06-09 ","1"
"LEAVE-161","PNR-1033","Maternity/Paternity"," 2020-03-25 ","2020-04-03","10"
"LEAVE-162","PNR-1033","Vacation","2022-01-19","2022-01-28","10"
"LEAVE-163"," PNR-1033 ","Personal Leave","2019-08-23","2019-08-24","2"
"LEAVE-164","PNR-1033","Personal Leave","2025-01-07","2025-01-09","3"
" LEAVE-165 ","PNR-1033","Vacation","2021-05-07","2021-05-16","10"
"LEAVE-165","PNR-1033","Vacation","2021-05-07","2021-05-16","10"
"LEAVE-167","PNR-1034","Personal Leave","2018-12-17","","1"
"LEAVE-168","PNR-1034","Sick Leave","2019-03-28"," 2019-03-30 ","3"
"LEAVE-169"," PNR-1034 ","Maternity/Paternity","2021-10-16","2021-10-17","2"
"LEAVE-170","PNR-1034"," Vacation ","2022-07-30","2022-08-03","5"
"LEAVE-171","PNR-1035","Personal Leave","2024-03-23","2024-03-23",""
"","PNR-1035","Personal Leave","2021-11-20","2021-11-24","5"
"LEAVE-173","PNR-1035","Personal Leave","2019-02-07","","2"
"LEAVE-174","PNR-1035","Sick Leave","2019-01-26","2019-01-30","5"
"LEAVE-175","PNR-1035","Personal Leave","2018-12-13","2018-12-17","5"
"LEAVE-176","PNR-1036","Sick Leave","2019-07-11","2019-07-20","10"
"LEAVE-177","PNR-1036","Personal Leave","2021-10-15","2021-10-24","10"
"LEAVE-178","PNR-1036","Vacation","2020-02-10","2020-02-14","5"
"LEAVE-179","PNR-1036","Personal Leave","2022-03-31"," 2022-04-02 ","3"
"LEAVE-180","PNR-1036","Sick Leave","2019-06-12","2019-06-16","5"
"","PNR-1037","Sick Leave","2023-03-30","2023-03-31","2"
"","PNR-1037","Sick Leave","2018-02-04","2018-02-05","2"
"LEAVE-183","PNR-1037","Vacation","2024-03-30","2024-04-01","3"
"LEAVE-184","PNR-1037","Maternity/Paternity","2021-06-12","2021-06-14","3"
"LEAVE-185","PNR-1037","Vacation","2018-02-02","2018-02-04","3"
"LEAVE-186","PNR-1038","Sick Leave","2023-11-17","2023-11-21","5"
"LEAVE-187","PNR-1038","Vacation","2020-07-28","2020-07-28","1"
"LEAVE-188","PNR-1038","#N/A","2024-09-13","2024-09-22","10"
" LEAVE-189 ","PNR-1038","Vacation","2018-04-05","2018-04-14","10"
"LEAVE-190","PNR-1038","Vacation","","2025-02-02","5"
"LEAVE-191","PNR-1039","Maternity/Paternity","2019-08-27","2019-08-27","1"
"LEAVE-192","PNR-1039","Maternity/Paternity","2023-11-17","2023-11-19","3"
" LEAVE-193 ","PNR-1039"," Vacation ","2019-12-17","2019-12-18","2"
" LEAVE-194 ","PNR-1039","#N/A","2025-09-24","2025-09-24","1"
"#N/A","PNR-1039","Maternity/Paternity","2018-04-16","2018-04-18","3"
"LEAVE-196","PNR-1040","Sick Leave","2022-07-03","2022-07-12","10"
"LEAVE-197","PNR-1040","Vacation","2022-06-11","2022-06-15","5"
"LEAVE-198","PNR-1040","Vacation","2019-04-28","2019-05-07","10"
"LEAVE-199","PNR-1040","Maternity/Paternity","2020-02-20","2020-02-20","1"
"LEAVE-200","PNR-1040","Maternity/Paternity","2018-10-29","2018-10-30","2"
"LEAVE-201","PNR-1041","Maternity/Paternity","2025-09-17","2025-09-26","10"
"LEAVE-202","PNR-1041","Maternity/Paternity","","2018-07-21","3"
"LEAVE-203","PNR-1041","Vacation","2018-01-07","2018-01-08","2"
"LEAVE-203","PNR-1041","Vacation","2018-01-07","2018-01-08","2"
"LEAVE-205","PNR-1041","Sick Leave","2022-09-18","2022-09-18","1"
"LEAVE-205","PNR-1041","Sick Leave","2022-09-18","2022-09-18","1"
"LEAVE-207","PNR-1042","Personal Leave","2025-05-20","2025-05-24","5"
"LEAVE-207","PNR-1042","Personal Leave","2025-05-20","2025-05-24","5"
"LEAVE-209","PNR-1042","Vacation","2024-08-22","2024-08-31","10"
"LEAVE-210","PNR-1042","Sick Leave","2021-07-26","2021-07-27","2"
"LEAVE-210","PNR-1042","Sick Leave","2021-07-26","2021-07-27","2"
"LEAVE-212","PNR-1043","Vacation","2023-12-01"," 2023-12-10 ","10"
"LEAVE-213","PNR-1043","Vacation","2021-01-08","2021-01-17","10"
"LEAVE-214","PNR-1043","Personal Leave","2020-02-21","2020-02-21","1"
"LEAVE-215","PNR-1043","Sick Leave","2024-08-25","2024-08-25","1"
"LEAVE-216","PNR-1044","Personal Leave","2025-05-11","2025-05-20","10"
"LEAVE-217","PNR-1044","Maternity/Paternity","2019-10-21","2019-10-25","5"
"LEAVE-218","PNR-1044","Maternity/Paternity","2023-03-07","2023-03-07","1"
"LEAVE-219","PNR-1044","Vacation","2024-03-04","2024-03-06","3"
"LEAVE-220","PNR-1044","Sick Leave","2025-08-01","2025-08-05","5"
"LEAVE-221","PNR-1045","Vacation","2021-10-21","2021-10-22","2"
"LEAVE-221","PNR-1045","Vacation","2021-10-21","2021-10-22","2"
"LEAVE-223","PNR-1045","Sick Leave","2021-04-30","2021-05-09","10"
"LEAVE-224","PNR-1045","","2022-02-24","2022-02-25","2"
"LEAVE-225","PNR-1045"," Sick Leave ","2024-06-03","2024-06-04","2"
"LEAVE-226","#N/A","Vacation","2022-05-16","2022-05-20","5"
"LEAVE-227"," PNR-1046 ","Sick Leave","2021-06-18","2021-06-20","3"
"LEAVE-228","PNR-1046","","2019-11-27","2019-11-28","2"
"LEAVE-229","PNR-1046","Sick Leave","2018-10-30","","2"
"LEAVE-230","PNR-1046","Personal Leave","2025-07-05","2025-07-09","5"
"LEAVE-231","PNR-1047","Maternity/Paternity","2022-06-03","2022-06-12","10"
"LEAVE-232","PNR-1047","Maternity/Paternity","2021-08-14","2021-08-14",""
"LEAVE-233","PNR-1047"," Sick Leave ","2021-03-23","2021-03-23","1"
"LEAVE-233","PNR-1047","Sick Leave","2021-03-23","2021-03-23","1"
"LEAVE-235","PNR-1047","Maternity/Paternity","2018-07-06","2018-07-06","1"
" LEAVE-236 ","PNR-1048","Vacation","2022-05-03","2022-05-04","2"
"LEAVE-237","PNR-1048","Vacation","2021-02-03","2021-02-04","2"
"LEAVE-238","PNR-1048","Vacation","2020-02-13","2020-02-13","1"
"LEAVE-239","PNR-1048"," Personal Leave ","2019-08-10","2019-08-10","1"
"LEAVE-240","PNR-1048","Personal Leave","2020-02-28","2020-02-28","1"
"LEAVE-241","PNR-1049","Maternity/Paternity","2018-04-22","2018-05-01","10"
"LEAVE-242","PNR-1049","Sick Leave","2019-10-17","2019-10-21","5"
"LEAVE-243","PNR-1049","Personal Leave","2018-12-08","2018-12-12","5"
"LEAVE-244","PNR-1049","Sick Leave","2025-04-19","2025-04-28","10"
"LEAVE-244","PNR-1049","Sick Leave","2025-04-19","2025-04-28","10"
"LEAVE-246","PNR-1050","Sick Leave","2020-11-18","2020-11-27","10"
"LEAVE-247","PNR-1050","Sick Leave","2019-08-31","2019-09-02","3"
"LEAVE-248","PNR-1050","Personal Leave","2021-03-22","2021-03-24","3"
"LEAVE-249","PNR-1050","Vacation","2025-10-15","2025-10-17","3"
" LEAVE-250 "," PNR-1050 ","Sick Leave","2021-08-16","2021-08-20","5"
"LEAVE-251","PNR-1051","Sick Leave","2020-04-23","","5"
"LEAVE-252","","Vacation","2018-03-17","2018-03-17","1"
"LEAVE-253","PNR-1051","Maternity/Paternity","2018-09-07","2018-09-08","2"
"LEAVE-253","PNR-1051","Maternity/Paternity","2018-09-07","2018-09-08","2"
"LEAVE-255","PNR-1051","Personal Leave","2022-02-17","2022-02-26","10"
"LEAVE-255","PNR-1051","Personal Leave","2022-02-17","2022-02-26","10"
"LEAVE-257","PNR-1052","Personal Leave","2022-11-01","2022-11-01","1"
"LEAVE-258","PNR-1052","Sick Leave","2021-05-13","2021-05-14","2"
"LEAVE-258","PNR-1052","Sick Leave","2021-05-13","2021-05-14","2"
" LEAVE-260 ","PNR-1052","Vacation","2018-02-02","2018-02-03","2"
"LEAVE-261","PNR-1053","Personal Leave","2021-12-09","2021-12-10","2"
"LEAVE-262","PNR-1053","Sick Leave","2018-10-26","2018-11-04","10"
"LEAVE-263","PNR-1053","Maternity/Paternity","2021-12-20","2021-12-22","3"
"LEAVE-264","PNR-1053","Sick Leave","2023-10-27","2023-10-29","3"
"LEAVE-264","PNR-1053","Sick Leave","2023-10-27","2023-10-29","3"
"LEAVE-265","PNR-1053","Sick Leave","2021-07-12","2021-07-13","2"
"LEAVE-267","PNR-1054","Maternity/Paternity","2018-01-05","2018-01-09","5"
"LEAVE-268","PNR-1054","Maternity/Paternity","2023-10-04","2023-10-08","5"
"LEAVE-269","PNR-1054","Sick Leave","2020-08-14","2020-08-23","10"
"LEAVE-270","PNR-1054","Personal Leave","2023-07-27","2023-07-28","2"
"LEAVE-271","PNR-1055","Vacation","2019-04-11","2019-04-11","1"
"LEAVE-272","PNR-1055","Vacation","2020-07-22","2020-07-24","3"
"LEAVE-273","PNR-1055","Vacation",""," 2020-09-30 ",""
"LEAVE-274","PNR-1055","Vacation","","2018-01-23","1"
"LEAVE-275","PNR-1055","Sick Leave"," 2020-05-07 ","2020-05-07","1"
"LEAVE-276"," PNR-1056 ","Maternity/Paternity","#N/A","2019-11-26","3"
"LEAVE-277","PNR-1056","Sick Leave","2020-02-25","2020-02-26","2"
"LEAVE-278","PNR-1056","Maternity/Paternity","2020-01-18","2020-01-22","5"
"LEAVE-279","PNR-1056","Maternity/Paternity","2025-06-21","2025-06-30","10"
"LEAVE-280","PNR-1056","Maternity/Paternity","2020-03-22","2020-03-24","3"
"LEAVE-281","PNR-1057","Sick Leave","2020-07-21","2020-07-30","10"
"LEAVE-282","PNR-1057","Personal Leave","2018-05-13","2018-05-14","2"
"LEAVE-283","PNR-1057","Maternity/Paternity","2020-11-30","2020-12-09","10"
"LEAVE-284","PNR-1057","Personal Leave","2021-12-16","2021-12-16","1"
"LEAVE-285","","Personal Leave","2024-09-22","2024-09-26","5"
"LEAVE-286","PNR-1058","Personal Leave","","2021-01-22","10"
"LEAVE-287","PNR-1058","Vacation","2022-12-16","2022-12-18","3"
"LEAVE-288","PNR-1058","Maternity/Paternity","2018-03-17","2018-03-18","2"
"LEAVE-289","PNR-1058","Maternity/Paternity","2019-07-27","2019-07-27","1"
"LEAVE-290","PNR-1058","Maternity/Paternity","2024-02-03"," 2024-02-05 ","3"
" LEAVE-291 ","PNR-1059","Sick Leave","2020-11-03","2020-11-12","10"
"LEAVE-292","PNR-1059","Sick Leave","2018-04-19","2018-04-19","1"
"LEAVE-293","PNR-1059","Maternity/Paternity","2024-07-04"," 2024-07-06 ","3"
"LEAVE-294","PNR-1059","Sick Leave","2020-02-29","2020-03-04","5"
"LEAVE-295","PNR-1059","Vacation","2024-02-19","2024-02-23","5"
" LEAVE-296 ","PNR-1060","Vacation","2023-12-26","2023-12-30","5"
"LEAVE-297","PNR-1060","Vacation","2018-11-05","2018-11-14","10"
"LEAVE-298","PNR-1060","Vacation","2025-04-05","2025-04-06","2"
"LEAVE-299","PNR-1060","Personal Leave","2024-08-08","2024-08-17","10"
"LEAVE-300","PNR-1060","Vacation","2020-09-21","2020-09-30","10"
"LEAVE-301"," PNR-1061 ","Sick Leave","2023-05-19","2023-05-19","1"
"LEAVE-302","PNR-1061","Vacation","2020-03-23","2020-03-25","3"
"LEAVE-303","PNR-1061","Vacation","2021-08-05","2021-08-14","10"
"LEAVE-304","PNR-1061","Vacation","2021-08-06","2021-08-06","1"
"LEAVE-305","PNR-1061","Vacation","2024-04-12","2024-04-12","1"
"LEAVE-306","PNR-1062","Vacation","2024-11-13","2024-11-14","2"
"LEAVE-306","PNR-1062","Vacation","2024-11-13","2024-11-14","2"
"LEAVE-308"," PNR-1062 ","","2021-02-14","2021-02-18","5"
"LEAVE-309","PNR-1062","Personal Leave","2024-07-12","2024-07-21","10"
"LEAVE-310","PNR-1062","Vacation","2019-04-09","2019-04-10",""
"LEAVE-311","PNR-1063","Sick Leave","2022-07-16","2022-07-18","3"
"LEAVE-312","PNR-1063","Maternity/Paternity","2021-11-20","2021-11-29","10"
"LEAVE-312","PNR-1063","Maternity/Paternity","2021-11-20","2021-11-29","10"
"LEAVE-314","PNR-1063","Maternity/Paternity","2022-06-13","2022-06-17","5"
"LEAVE-315","PNR-1063"," Personal Leave ","2022-04-13","2022-04-13","1"
"LEAVE-316","PNR-1064","Personal Leave","2022-05-09","2022-05-11","3"
"LEAVE-317","PNR-1064","Sick Leave","2022-11-11","2022-11-20","10"
" LEAVE-318 ","PNR-1064","Maternity/Paternity","2023-04-13","2023-04-17","5"
" LEAVE-319 ","PNR-1064","#N/A","2021-12-15","2021-12-19","5"
"LEAVE-320","","Sick Leave","2024-05-13","2024-05-22",""
"#N/A","PNR-1065","Personal Leave","2020-08-21","2020-08-22","2"
" LEAVE-322 ","PNR-1065","Maternity/Paternity","2022-07-03","2022-07-12","10"
"LEAVE-323","PNR-1065","Sick Leave","2022-05-16","2022-05-17","2"
"LEAVE-324","PNR-1065","Personal Leave","2023-10-07","2023-10-16","10"
"LEAVE-325","PNR-1065","Personal Leave","2018-11-13","2018-11-14","2"
"LEAVE-326","PNR-1066","Maternity/Paternity","2019-07-18","2019-07-22","5"
"LEAVE-326","PNR-1066","Maternity/Paternity","2019-07-18","2019-07-22","5"
"LEAVE-328","PNR-1066","Maternity/Paternity","2018-11-21","2018-11-25","5"
"LEAVE-329","PNR-1066","Personal Leave","2021-12-05","2021-12-06","2"
"LEAVE-330","PNR-1066","Sick Leave","2025-07-25","2025-07-26","2"
"LEAVE-331","PNR-1067","Sick Leave","2018-03-27","2018-03-29","3"
"LEAVE-332","PNR-1067","Maternity/Paternity","2018-01-25","2018-01-25","1"
"LEAVE-333","PNR-1067","Vacation"," 2018-06-15 ","2018-06-17","3"
"LEAVE-334","PNR-1067","Vacation","2022-03-06","2022-03-15","10"
"LEAVE-335","PNR-1067","Maternity/Paternity","2024-12-22","2024-12-23","2"
"LEAVE-336","PNR-1068","Sick Leave","2021-12-03"," 2021-12-03 ","1"
"LEAVE-337","PNR-1068","Personal Leave","2025-05-17","2025-05-26","10"
"","PNR-1068","Maternity/Paternity","2018-06-10","2018-06-11","2"
"LEAVE-339","PNR-1068"," Personal Leave ","2020-11-19","2020-11-19","1"
"LEAVE-339","PNR-1068","Personal Leave","2020-11-19","2020-11-19","1"
"#N/A","PNR-1069","Sick Leave","","2018-06-13","10"
"LEAVE-342","PNR-1069","Sick Leave","2024-09-17","2024-09-19","3"
"LEAVE-343","PNR-1069","Maternity/Paternity","2025-04-09"," 2025-04-11 ","3"
"LEAVE-344","","Vacation","2024-02-07","2024-02-08","2"
"","PNR-1069","Sick Leave","2018-08-11","2018-08-13","3"
" LEAVE-346 ","PNR-1070","Sick Leave","","2022-01-12","3"
" LEAVE-347 ","PNR-1070","Personal Leave"," 2020-08-31 ","2020-09-01","2"
