CandidateID,PositionID,JobTitle,ApplicationDate,Source,Stage,DateatStage
"CAND-44","POS-2","Marketing","2025-08-12","Job Fair","Screened","2025-08-14"
"CAND-44","POS-2","Marketing","2025-08-12","Job Fair","Screened","2025-08-14"
"CAND-46","","Marketing","2025-09-05","Job Fair"," Applied "," 2025-09-05 "
" CAND-47 ","POS-2","Marketing","2025-09-05","Employee Referral","Screened"," 2025-09-11 "
"","POS-2","Marketing","2025-09-05","Company Website","Rejected","2025-09-14"
"CAND-49","POS-2","Marketing","2025-08-29","Job Fair","Applied"," 2025-08-29 "
"CAND-49","POS-2","Marketing","2025-08-29","Job Fair","Applied","2025-08-29"
"CAND-51","POS-2","Marketing","2025-08-29","","Rejected"," 2025-09-05 "
"CAND-52","POS-2"," Marketing ","2025-09-24","Employee Referral","Applied","2025-09-24"
"CAND-53","POS-2","","2025-09-24","LinkedIn","Rejected","2025-09-26"
" CAND-54 ","POS-2","Marketing","2025-10-19","Employee Referral","Applied","2025-10-19"
"CAND-55","POS-2","Marketing","2025-10-19","Company Website","Screened","2025-10-23"
"","POS-2","Marketing","#N/A","LinkedIn","Interview 1"," 2025-10-26 "
"CAND-57","POS-2","Marketing"," 2025-10-19 ","Indeed","",""
"CAND-58","POS-2","Marketing","2025-10-19","Indeed","Offer","2025-11-03"
"CAND-59","POS-2","Marketing","2025-10-19","Indeed","Hired",""
"CAND-60","POS-3","QC","2025-10-06","Indeed"," Rejected ","2025-10-06"
"CAND-61","POS-3","QC"," 2025-10-11 ","Job Fair","Rejected","2025-10-11"
"CAND-61","POS-3","QC","2025-10-11","Job Fair","Rejected","2025-10-11"
"CAND-63","POS-3"," QC ","2025-10-10","Job Fair","Screened",""
" CAND-64 ","","QC","2025-10-10","LinkedIn","Interview 1","#N/A"
"CAND-65","POS-3","QC","2025-10-10",""," Rejected ","2025-10-24"
"CAND-66"," POS-3 ","QC","2025-09-15","Employee Referral","Applied","2025-09-15"
"CAND-66","POS-3","QC","2025-09-15","Employee Referral","Applied","2025-09-15"
"CAND-68","POS-3","","2025-09-15","Company Website"," Interview 1 ","2025-09-27"
"CAND-68","POS-3","QC","2025-09-15","Company Website","Interview 1","2025-09-27"
" CAND-70 ","POS-3","QC","","LinkedIn","Rejected","2025-10-05"
"","POS-3","","2025-10-12","Indeed"," Rejected ","#N/A"
"CAND-72","POS-3","QC","2025-09-26","Job Fair","Applied","2025-09-26"
"CAND-73","POS-3","","2025-09-26","Employee Referral","Screened","2025-09-29"
"CAND-73","POS-3","QC","2025-09-26","Employee Referral","Screened","2025-09-29"
"CAND-74","POS-3","QC","2025-09-26","Indeed","Interview 1","2025-10-01"
"CAND-76","POS-3","QC","2025-09-26","","Offer","2025-10-10"
"CAND-77"," POS-3 ","QC","#N/A","","","2025-10-16"
"CAND-78","#N/A","QC","2025-09-12","Employee Referral","Applied","2025-09-12"
"","","QC","2025-09-12","Employee Referral","Rejected","2025-09-16"
"CAND-79","POS-3","QC","2025-09-12","Employee Referral","Rejected","2025-09-16"
"#N/A","POS-3","","2025-09-11"," Employee Referral ","Screened"," 2025-09-14 "
"CAND-81","POS-3","QC","2025-09-11","Employee Referral","Screened","2025-09-14"
"CAND-83","POS-3"," QC ","2025-10-29","Employee Referral","Rejected"," 2025-10-29 "
"CAND-84","POS-3"," QC ","2025-09-27","LinkedIn","Applied","2025-09-27"
" CAND-85 ","POS-3","QC","2025-09-27","Job Fair","Screened","2025-09-30"
"CAND-86","POS-3","QC","2025-09-27","Indeed","Rejected","2025-10-07"
" CAND-87 ","POS-3","QC","2025-09-25",""," Applied ","2025-09-25"
"CAND-88"," POS-3 ","QC"," 2025-09-25 ","Job Fair","Screened",""
"CAND-89","POS-3","QC","2025-09-25","Company Website","Interview 1",""
"CAND-89","POS-3","QC","2025-09-25","Company Website","Interview 1","2025-09-29"
"","POS-3","QC","2025-09-25","LinkedIn","","2025-10-07"
"CAND-92","POS-3","QC","2025-09-25"," Employee Referral ","Hired","2025-10-14"
"CAND-93","POS-3","QC","2025-10-17","LinkedIn","Applied",""
"CAND-94","POS-3","QC","#N/A","","Screened",""
"CAND-95"," POS-3 ","QC","2025-10-17","LinkedIn"," Interview 1 ",""
" CAND-96 ","POS-3","QC"," 2025-10-17 ","Employee Referral","Interview 2","2025-10-26"
" CAND-97 ","POS-3","QC","","Employee Referral","#N/A","2025-11-02"
"CAND-98"," POS-3 ","QC"," 2025-10-10 ","Employee Referral","Applied","2025-10-10"
" CAND-99 ","POS-3","QC","","Employee Referral","Rejected","2025-10-14"
" CAND-100 ","POS-3","QC","2025-09-11","Employee Referral"," Applied ","2025-09-11"
"","POS-3","QC","2025-09-11"," Employee Referral ","Rejected","2025-09-17"
"CAND-102","POS-3","QC","2025-10-08","Job Fair"," Applied ","2025-10-08"
"CAND-102","POS-3","QC","2025-10-08","Job Fair","Applied","2025-10-08"
"CAND-104","POS-3","","2025-09-25","LinkedIn","",""
"CAND-105","POS-3"," QC ","2025-09-28","Indeed","Applied","2025-09-28"
"CAND-106","POS-3","","2025-09-28","Employee Referral","Screened","2025-10-03"
"CAND-107","POS-3","QC","2025-09-28","LinkedIn","Rejected"," 2025-10-06 "
"CAND-108"," POS-3 ","","2025-10-19"," Indeed "," Applied ","2025-10-19"
"CAND-108","POS-3","QC","2025-10-19","Indeed","Applied","2025-10-19"
"CAND-110","POS-4","Account","2025-08-28","Company Website","Rejected","2025-08-28"
"CAND-110","POS-4","Account","2025-08-28","Company Website","Rejected","2025-08-28"
"CAND-112","POS-4","Account","2025-09-06","Job Fair"," Rejected ","2025-09-06"
"CAND-113","POS-4","Account","","Job Fair","Rejected","2025-09-26"
"CAND-114","POS-4","Account","#N/A","Job Fair"," Rejected ","2025-09-10"
"CAND-115","POS-4","#N/A","",""," Rejected ",""
"CAND-116","POS-4","Account","","Job Fair","Applied","2025-08-18"
"CAND-117","POS-4","Account","2025-08-18","Job Fair","Rejected","2025-08-23"
"CAND-117","POS-4","Account","2025-08-18","Job Fair","Rejected","2025-08-23"
"CAND-119","","Account","2025-10-14","Indeed","Screened","2025-10-21"
"CAND-120",""," Account ","2025-10-14","Company Website","Rejected","2025-10-28"
" CAND-121 ","POS-4","Account","2025-10-28","LinkedIn","Rejected","2025-10-28"
"CAND-122","POS-4","Account","2025-10-15","Company Website","","2025-10-15"
"#N/A","POS-4"," Account ","2025-10-15","Indeed","Rejected","2025-10-17"
"CAND-124"," POS-4 ","Account","2025-09-07","Job Fair",""," 2025-09-07 "
"#N/A"," POS-5 ","Operations","2025-09-30","LinkedIn","Applied","2025-09-30"
" CAND-126 ","POS-5","Operations","2025-09-30","Employee Referral","","2025-10-03"
"","POS-5","Operations","2025-10-03","Company Website","Rejected",""
"CAND-128","POS-5","Operations","","Indeed"," Applied "," 2025-10-27 "
"CAND-129","POS-5","","","","Screened","2025-10-31"
"CAND-130","POS-5","","#N/A","Job Fair","Interview 1","2025-11-06"
"CAND-130","POS-5","Operations","2025-10-27","Job Fair","Interview 1","2025-11-06"
"CAND-132","POS-5","","2025-10-27","Employee Referral","Rejected",""
"CAND-133"," POS-5 ","Operations","2025-09-28","Job Fair","Applied","2025-09-28"
"CAND-134","POS-5"," Operations ","2025-09-28"," Indeed ","Rejected","2025-10-01"
"","POS-5","Operations","2025-08-17","Job Fair","","2025-08-17"
" CAND-136 ","","Operations","2025-10-03","","Applied"," 2025-10-03 "
"CAND-137"," POS-5 ","Operations","2025-10-03","LinkedIn"," Screened ","2025-10-10"
"CAND-138"," POS-5 ","Operations","2025-10-03"," Company Website "," Interview 1 ","2025-10-12"
"CAND-139","POS-5","","2025-10-03","Employee Referral"," Interview 2 "," 2025-10-18 "
"CAND-140","","","2025-10-03","Employee Referral","Offer"," 2025-10-24 "
"CAND-141","POS-5","Operations","2025-10-03","Job Fair","Hired","2025-10-30"
"CAND-142","POS-5","Operations","2025-09-25","Company Website","Applied","2025-09-25"
"CAND-143"," POS-5 ","Operations"," 2025-09-25 ","LinkedIn","Rejected"," 2025-09-30 "
"CAND-144","#N/A"," Operations ","2025-10-25"," Indeed ","Applied","#N/A"
"CAND-145","POS-5","Operations","2025-10-25","LinkedIn","Rejected","2025-10-27"
""," POS-5 ","Operations","2025-10-17","LinkedIn"," Applied ","2025-10-17"
"CAND-147","#N/A","Operations"," 2025-10-17 ","Job Fair"," Screened ","2025-10-21"
"","POS-5","Operations","2025-10-17","Indeed","",""
"CAND-148","POS-5","Operations","2025-10-17","Indeed","Rejected","2025-10-28"
"CAND-149","POS-5","Operations","2025-08-26","Company Website","Applied","2025-08-26"
"CAND-150","POS-5","Operations","2025-08-26","LinkedIn","Screened","2025-08-29"
"CAND-152","POS-5"," Operations ","2025-08-26","Indeed","Interview 2","2025-09-04"
"CAND-153","POS-5","Operations","2025-08-26","Job Fair","Rejected","2025-09-06"
"CAND-154","POS-5","Operations","2025-08-15"," Company Website ","Rejected","2025-08-15"
" CAND-155 ","","","2025-10-12","Indeed","Applied","2025-10-12"
"CAND-156","POS-5","","2025-10-12","","Rejected","2025-10-16"
"CAND-157","POS-5","Operations","2025-09-28"," Indeed ","Applied","2025-09-28"
"CAND-158","POS-5",""," 2025-09-28 ","Company Website"," Screened ","2025-09-30"
"","","Operations","2025-09-28","Employee Referral","Interview 1","2025-10-04"
"CAND-160","POS-5","Operations","2025-09-28"," Job Fair ","Interview 2","2025-10-10"
"CAND-161","POS-5","Operations",""," Employee Referral ","Offer","2025-10-13"
"CAND-162","POS-5","Operations","2025-09-28","Job Fair","Hired"," 2025-10-18 "
"#N/A","POS-5","Operations","2025-10-02"," Indeed ","Rejected",""
"CAND-163","POS-5","Operations","2025-10-02","Indeed","Rejected","2025-10-02"
"CAND-164","POS-5","Operations","2025-10-13","Indeed","Applied","2025-10-13"
"CAND-166","","Operations","2025-10-03"," Employee Referral ","Rejected","2025-10-03"
"CAND-167","POS-5","Operations","2025-09-18","LinkedIn","#N/A","2025-09-18"
"CAND-168","POS-5","Operations","2025-09-18","Job Fair","#N/A","2025-09-24"
"CAND-169","POS-5","Operations","2025-09-02","Employee Referral","Applied","#N/A"
" CAND-170 ","POS-5","Operations","2025-09-02","Employee Referral"," Screened ","2025-09-05"
"CAND-171","POS-5","#N/A","2025-09-02","","Rejected","2025-09-10"
"CAND-172","POS-6","Account","2025-09-12"," Employee Referral ","Applied","2025-09-12"
"CAND-172","POS-6","Account","2025-09-12","Employee Referral","Applied","2025-09-12"
" CAND-174 ","POS-6"," Account ","2025-09-12","Job Fair"," Interview 1 ","2025-09-23"
"CAND-175","","Account","2025-09-12","Job Fair","Interview 2","2025-09-28"
"CAND-176","POS-6","","2025-09-12","Indeed","Rejected","2025-10-03"
"CAND-177","#N/A","Account","","Company Website","Applied","2025-10-24"
" CAND-178 ","POS-6","Account","","Indeed","Rejected"," 2025-10-29 "
" CAND-179 ","POS-6","Account","2025-08-25","Company Website","","2025-08-25"
"CAND-180","POS-6","Account","2025-09-26","Company Website","Applied","2025-09-26"
"CAND-181","POS-6","Account","2025-09-26","#N/A","Screened"," 2025-10-03 "
"CAND-182","POS-6","","2025-09-26","Job Fair","Interview 1","2025-10-07"
"CAND-183",""," Account ","2025-09-26","LinkedIn","Rejected","2025-10-14"
"CAND-183","POS-6","Account","2025-09-26","LinkedIn","Rejected","2025-10-14"
"CAND-185","POS-6","Account","#N/A"," LinkedIn ","Screened","2025-10-22"
"CAND-186","POS-6","","2025-10-20","Employee Referral","Interview 1","2025-10-25"
"CAND-187","POS-6",""," 2025-10-20 ","LinkedIn","Interview 2","2025-10-29"
"CAND-188","POS-6","Account","2025-10-20","LinkedIn"," Offer ","2025-11-04"
"CAND-189","","","2025-10-20"," Job Fair ","Hired","2025-11-11"
"CAND-190","POS-6","Account"," 2025-10-25 ","Company Website","Rejected","2025-10-25"
" CAND-191 ","POS-6","Account"," 2025-09-26 ","#N/A","Rejected","2025-09-26"
" CAND-192 ","POS-6","Account"," 2025-10-17 ","Company Website","Rejected","2025-10-17"
"CAND-193","POS-6","Account","2025-08-27","LinkedIn"," Applied ","2025-08-27"
"CAND-194","POS-6","Account","2025-08-27","LinkedIn","",""
"CAND-194","POS-6","Account","2025-08-27","LinkedIn","Rejected","2025-09-03"
"CAND-195","POS-6","Account","2025-10-28","Employee Referral","Applied","2025-10-28"
" CAND-197 ","POS-6","Account","2025-10-28",""," Interview 1 ","2025-11-07"
"CAND-198","","Account","2025-10-28","Indeed","Rejected","2025-11-09"
"CAND-198","POS-6","Account","2025-10-28","Indeed","Rejected","2025-11-09"
"CAND-200","POS-6","Account","2025-10-27","Job Fair","Screened","2025-11-02"
"","POS-6","Account","","LinkedIn","Interview 1","2025-11-05"
"CAND-201","POS-6","Account","2025-10-27","LinkedIn","Interview 1","2025-11-05"
"CAND-203","POS-6"," Account ","2025-10-27","Company Website","Offer","2025-11-15"
"CAND-204","POS-6","Account","2025-10-27","LinkedIn","Hired","2025-11-20"
"CAND-205","POS-6","","2025-09-26","Job Fair"," Rejected ","2025-09-26"
" CAND-206 ","POS-6","Account","2025-10-24","Employee Referral","Rejected"," 2025-10-24 "
" CAND-207 ","POS-7"," Research ","2025-09-28","LinkedIn","Applied","2025-09-28"
"CAND-208","","Research","2025-09-28","Job Fair","Screened"," 2025-09-30 "
"CAND-209","POS-7","Research"," 2025-09-28 ","Indeed","Interview 1","2025-10-04"
" CAND-210 ",""," Research ","2025-09-28","Job Fair","Interview 2","2025-10-10"
"CAND-210","POS-7","Research","2025-09-28","Job Fair","Interview 2","2025-10-10"
"CAND-212"," POS-7 ","Research"," 2025-09-28 ","#N/A","Hired","2025-10-19"
"CAND-213","POS-7","Research","","LinkedIn","Applied",""
"CAND-214"," POS-7 "," Research ","#N/A","LinkedIn","Rejected","2025-10-31"
"CAND-215","POS-7","Research","","LinkedIn","","2025-09-26"
"CAND-215","POS-7","Research","2025-09-26","LinkedIn","Applied","2025-09-26"
"CAND-217","POS-7"," Research "," 2025-09-28 ","Indeed","Rejected","2025-09-28"
"CAND-218","#N/A","Research"," 2025-09-08 "," LinkedIn "," Applied ",""
"CAND-219","POS-7"," Research "," 2025-09-08 ","Company Website","Rejected"," 2025-09-14 "
"","POS-7","","2025-10-18","Company Website","Applied","2025-10-18"
"CAND-221","POS-7"," Research ","2025-10-18","LinkedIn","Screened","2025-10-24"
"","POS-7","Research","2025-10-18","Job Fair","Rejected","2025-10-29"
"CAND-223","POS-7","Research","2025-09-21"," Indeed ","","2025-09-21"
"CAND-224","POS-7","Research","2025-09-21","Company Website","Screened","2025-09-23"
"CAND-224","POS-7","Research","2025-09-21","Company Website","Screened","2025-09-23"
"CAND-226"," POS-7 ","Research","","Employee Referral","","2025-10-01"
"CAND-226","POS-7","Research","2025-09-21","Employee Referral","Rejected","2025-10-01"
" CAND-228 ","POS-7","Research","2025-10-18","Job Fair","Screened",""
" CAND-229 ","POS-7","Research","2025-10-18","Indeed","Interview 1","2025-10-26"
"CAND-229","POS-7","Research","2025-10-18","Indeed","Interview 1","2025-10-26"
"CAND-231","POS-7","Research","","Employee Referral","Applied","2025-09-19"
"CAND-232","POS-7","Research","","LinkedIn","Screened","2025-09-24"
"CAND-233","POS-7","Research","","Company Website"," Rejected ","2025-10-01"
"CAND-233","POS-7","Research","2025-09-19","Company Website","Rejected","2025-10-01"
"","POS-7","Research","2025-09-14"," LinkedIn "," Applied ","2025-09-14"
"CAND-236"," POS-7 "," Research ","","Employee Referral","Rejected","2025-09-20"
"CAND-237","POS-7","Research"," 2025-10-08 ","Job Fair","Rejected","2025-10-08"
"CAND-237","POS-7","Research","2025-10-08","Job Fair","Rejected","2025-10-08"
"CAND-239","POS-7","Research","2025-10-25","Indeed","Applied","2025-10-25"
"CAND-240","POS-7","Research","2025-10-25","Indeed","Screened","2025-10-29"
"CAND-241","POS-7","Research","2025-10-25","Indeed","Interview 1","2025-11-05"
"CAND-242","POS-7"," Research "," 2025-10-25 ","Company Website"," Interview 2 ",""
"CAND-242","POS-7","Research","2025-10-25","Company Website","Interview 2","2025-11-11"
"CAND-244","POS-7","Research","2025-10-25"," Employee Referral ","Hired","2025-11-18"
"","POS-7","Research","2025-09-13","Job Fair","Rejected","2025-09-13"
"","POS-7","Research"," 2025-09-18 ","LinkedIn"," Rejected ","2025-09-18"
"CAND-247","POS-8","Marketing","2025-08-27","Job Fair","Applied","2025-08-27"
"CAND-248"," POS-8 ","Marketing","2025-08-27","Job Fair","",""
"","POS-8","Marketing","","","Rejected"," 2025-08-16 "
"CAND-249","POS-8","Marketing","2025-08-16","Indeed","Rejected","2025-08-16"
"CAND-251","POS-8","Marketing","2025-09-10","Job Fair","Screened"," 2025-09-14 "
"CAND-251","POS-8","Marketing","2025-09-10","Job Fair","Screened","2025-09-14"
"CAND-253","POS-8","","2025-09-10","Job Fair","Interview 2","2025-09-23"
"CAND-254"," POS-8 ","Marketing","2025-09-10"," Employee Referral "," Offer ","2025-09-25"
"CAND-255","POS-8","Marketing","2025-09-10","Employee Referral","Hired"," 2025-10-02 "
"#N/A","","Marketing","","Indeed","Applied","2025-10-26"
"CAND-257","POS-8","Marketing"," 2025-10-26 ","Job Fair","Screened","#N/A"
"CAND-258","POS-8","Marketing","2025-10-26","Employee Referral","Rejected","2025-11-02"
"CAND-259","POS-8","Marketing","2025-09-12","Job Fair","Applied","2025-09-12"
"","POS-8","Marketing","2025-09-12","LinkedIn","Rejected","2025-09-15"
"CAND-260","POS-8","Marketing","2025-09-12","LinkedIn","Rejected","2025-09-15"
"CAND-261","POS-8","Marketing","2025-10-02","LinkedIn","Applied","2025-10-02"
"CAND-263"," POS-8 ","Marketing","2025-10-02","LinkedIn","Interview 1","2025-10-11"
"","","Marketing","2025-10-02","Indeed","Interview 2","2025-10-18"
"CAND-265","","Marketing","","Indeed"," Offer ",""
"CAND-266","POS-8","Marketing","#N/A","Company Website","Hired",""
"CAND-267","POS-8","Marketing","2025-09-15","LinkedIn","Applied","2025-09-15"
"CAND-268","POS-8","Marketing"," 2025-09-15 ","LinkedIn","",""
"CAND-269","POS-8","Marketing","","LinkedIn","Interview 1"," 2025-09-24 "
" CAND-270 ","POS-8","Marketing","2025-09-15","Indeed","","2025-09-27"
"CAND-271","POS-8","Marketing","#N/A","Employee Referral","","2025-09-26"
"CAND-272","POS-8","Marketing","2025-09-26","Employee Referral","Screened","2025-09-29"
"CAND-272","POS-8","Marketing","2025-09-26","Employee Referral","Screened","2025-09-29"
"CAND-274","POS-8"," Marketing ","2025-09-26","LinkedIn"," Rejected ","2025-10-06"
"CAND-275","POS-8","Marketing","2025-08-19","Employee Referral","Rejected","2025-08-19"
"","","Marketing"," 2025-08-23 ","Job Fair","","2025-08-23"
"CAND-277","POS-8","","","","","2025-08-30"
"CAND-278","POS-8"," Marketing ",""," LinkedIn ","","2025-09-06"
"","POS-8","#N/A","2025-10-23"," Employee Referral ","Applied"," 2025-10-23 "
"CAND-279","POS-8","Marketing","2025-10-23","Employee Referral","Applied","2025-10-23"
"CAND-281","POS-8","Marketing","2025-10-23","","Interview 1",""
" CAND-282 ","POS-8",""," 2025-10-23 ","Employee Referral","Interview 2","2025-10-31"
"CAND-283","POS-8"," Marketing ","2025-10-23","Employee Referral","#N/A","2025-11-04"
"CAND-284","POS-8","Marketing","2025-10-23","Job Fair","Hired","2025-11-11"
"CAND-285"," POS-8 ","Marketing","2025-08-21"," Job Fair ","Applied",""
"CAND-286"," POS-8 ","Marketing","2025-08-21","Indeed","Screened","2025-08-27"
"CAND-287","POS-8","Marketing","#N/A","Job Fair","Interview 1","2025-08-30"
"CAND-288"," POS-8 ","Marketing","2025-08-21","Company Website","","2025-09-01"
" CAND-289 ","POS-8","Marketing","2025-08-31","Employee Referral","Applied","2025-08-31"
"CAND-290","POS-8","Marketing","2025-08-31","Indeed","Screened","2025-09-04"
"CAND-291","POS-8","Marketing","2025-08-31"," Indeed ","Rejected","2025-09-09"
"CAND-292","POS-9"," Research ","2025-09-04","LinkedIn","Applied","2025-09-04"
" CAND-293 ","POS-9"," Research ","2025-09-04"," Indeed ","Rejected","2025-09-11"
"CAND-294","POS-9","","","Company Website","",""
"CAND-295","","Research","2025-07-28","Job Fair","Screened"," 2025-08-01 "
"CAND-296","POS-9","Research","2025-07-28","Indeed","#N/A",""
"CAND-297","POS-9","Research","2025-10-21","Indeed","Applied","2025-10-21"
"CAND-297","POS-9","Research","2025-10-21","Indeed","Applied","2025-10-21"
"CAND-298","POS-9","Research","2025-10-21","Indeed","Screened","2025-10-24"
" CAND-300 ","POS-9","Research","2025-08-30","Company Website","","2025-08-30"
"CAND-301","POS-9","Research","2025-08-30"," Job Fair ",""," 2025-09-06 "
""," POS-9 ","Research","2025-09-18","Indeed","Rejected","2025-09-18"
"CAND-303","POS-9","Research","2025-10-13","Company Website","Applied","2025-10-13"
"CAND-304","POS-9","Research","2025-10-13","Company Website"," Screened ",""
" CAND-305 ","POS-9","Research","2025-10-13","","Interview 1","2025-10-25"
"CAND-306","POS-9","Research","2025-10-13","Job Fair","Rejected"," 2025-10-28 "
"CAND-307","POS-9","Research","2025-10-11","Indeed","Rejected","2025-10-11"
"CAND-308","POS-9","Research","2025-08-28","Company Website","Applied","2025-08-28"
"CAND-309","#N/A","Research","","Indeed","Rejected","2025-09-01"
"CAND-310","POS-9","Research"," 2025-07-29 ","Indeed","",""
"#N/A","POS-9"," Research ","","Company Website",""," 2025-08-01 "
"CAND-312","POS-9","Research","","LinkedIn"," Rejected ","2025-08-07"
"CAND-313","POS-9"," Research ","2025-08-21"," Company Website "," Applied ","2025-08-21"
"CAND-314","POS-9","Research","2025-08-21","Indeed","Screened","2025-08-28"
"","POS-9"," Research ","2025-08-21","Employee Referral","Interview 1"," 2025-08-30 "
"CAND-316","POS-9","Research","2025-08-21"," Indeed ","Interview 2","2025-09-06"
"CAND-317","POS-9","Research","2025-08-21","Indeed","Offer","2025-09-09"
"CAND-318","POS-9","Research","2025-08-21"," Job Fair "," Hired ","2025-09-14"
" CAND-319 ","POS-9","Research"," 2025-09-19 ","Job Fair"," Applied ","2025-09-19"
"CAND-319","POS-9","Research","2025-09-19","Job Fair","Applied","2025-09-19"
"CAND-321","","Research","2025-09-19","LinkedIn","Interview 1","2025-10-03"
"","POS-9","","2025-09-19"," Employee Referral ","","2025-10-08"
"CAND-323","POS-9","Research","2025-09-19"," Employee Referral ","Offer","2025-10-13"
"",""," Research ","2025-09-19","Indeed","Hired","2025-10-15"
"CAND-324","POS-9","Research","2025-09-19","Indeed","Hired","2025-10-15"
"CAND-326","#N/A","Research","2025-09-08"," Employee Referral ","Applied",""
"CAND-327","POS-9","Research"," 2025-09-08 ","Employee Referral","Screened","2025-09-12"
"CAND-328","POS-9"," Research "," 2025-09-08 "," LinkedIn ","Interview 1","2025-09-14"
"CAND-329","POS-9","Research","2025-09-08","","Interview 2"," 2025-09-18 "
"CAND-330","POS-9","Research","2025-09-08",""," Offer "," 2025-09-23 "
"CAND-331","POS-9","Research","2025-09-08","Job Fair","Hired","2025-09-25"
"#N/A","","QC","2025-10-05","","Applied",""
"CAND-333","POS-10","QC","2025-10-05",""," Screened ","2025-10-10"
"CAND-334","POS-10"," QC ",""," Company Website ","Interview 1","2025-10-14"
"CAND-335","","QC"," 2025-10-05 ","Job Fair","Rejected","2025-10-16"
"CAND-336","POS-10","QC","2025-10-10","","Applied","2025-10-10"
"CAND-337","#N/A","QC","2025-10-10","Company Website","",""
"CAND-338","POS-10","QC","2025-10-10","Employee Referral","Rejected"," 2025-10-18 "
"CAND-339","#N/A","QC","2025-09-30","Indeed","Rejected","2025-09-30"
"CAND-340","POS-10","QC","2025-10-18","Company Website","Applied",""
"CAND-341","POS-10","QC","2025-10-18","","Screened","2025-10-22"
"CAND-342","POS-10","QC","2025-10-18","#N/A","Interview 1","2025-10-29"
"CAND-343"," POS-10 "," QC "," 2025-10-18 ","Employee Referral","Rejected","2025-11-04"
"CAND-343","POS-10","QC","2025-10-18","Employee Referral","Rejected","2025-11-04"
" CAND-345 ","POS-10","QC","2025-10-24","Employee Referral","Screened","2025-10-29"
